id,m1,m2,q0star,alpha,phi0,tc,dist,incl,k,mean_20_300,p95_20_300,max_20_300,n_20_300,status,error_code,wall_time_s,model,score,p95_20_300_circ,p95_20_300_recalc,phi_ref_fpeak,phi_mcgt_fpeak
87,67.090255,59.078562,-0.010428,0.979003,0.0,0.0,1000.0,0.0,0,0.144455,0.231386,0.241232,117,ok,,0.007308,default,0.231386,0.2313857500414833,0.2313857500414833,-1.1301677895660873,-0.967936591046918
88,21.903816,5.962585,0.121061,-0.06393,0.0,0.0,1000.0,0.0,-10,1.642827,3.018822,3.135438,117,ok,,0.001774,default,3.018822,3.018821500432701,3.018821500432701,2.5742474734311465,2.8530752276153244
89,72.549163,16.093865,-0.070792,-0.805159,0.0,0.0,1000.0,0.0,99,1.732636,2.860738,3.140457,117,ok,,0.005522,default,2.860738,2.8607376846016987,2.8607376846016987,-0.6845184191183638,1.6610391632418775
90,65.791564,32.336306,0.09816,0.143992,0.0,0.0,1000.0,0.0,-4,1.519999,2.985061,3.139814,117,ok,,0.001665,default,2.985061,2.9850610876784627,2.9850610876784627,-1.6549091434790704,-2.1909629539765234
91,45.430504,44.813876,-0.212349,-0.249612,0.0,0.0,1000.0,0.0,36,1.55822,3.002964,3.133572,117,ok,,0.003664,default,3.002964,3.002963970815862,3.002963970815862,-1.562168602964885,2.3466099577972095
92,37.144631,19.610929,0.256201,0.832594,0.0,0.0,1000.0,0.0,-1,1.848257,3.007265,3.137893,117,ok,,0.001553,default,3.007265,3.00726507151438,3.00726507151438,0.6258513142275213,0.2598154064882783
93,53.211263,27.296751,0.022112,0.535473,0.0,0.0,1000.0,0.0,0,1.528443,3.005081,3.131359,117,ok,,0.001904,default,3.005081,3.005081443315624,3.005081443315624,-0.6055893480911543,-2.2740765687135003
94,53.713778,14.173777,-0.147023,-0.389992,0.0,0.0,1000.0,0.0,42,1.530487,2.928172,3.139043,117,ok,,0.001109,default,2.928172,2.9281716433230174,2.9281716433230174,-2.234743692043784,-1.3830186980919628
95,74.766761,63.628411,0.18224,0.472362,0.0,0.0,1000.0,0.0,-2,1.582622,2.951403,3.111114,117,ok,,0.001242,default,2.951403,2.9514032641855805,2.9514032641855805,-2.827646708014827,-1.3115551551992066
96,38.913164,6.316845,-0.286126,-0.571029,0.0,0.0,1000.0,0.0,163,1.46897,2.941329,3.13379,117,ok,,0.001022,default,2.941329,2.941329446355984,2.941329446355984,-2.301562171094176,2.8256033439634187
97,55.563705,5.01635,-0.094521,-0.100297,0.0,0.0,1000.0,0.0,9,1.66936,3.005722,3.140688,117,ok,,0.001399,default,3.005722,3.005722312248703,3.005722312248703,-1.6831000454042169,1.7816865685548855
98,73.65055,11.821478,0.073843,0.950916,0.0,0.0,1000.0,0.0,0,1.128493,1.831209,1.912856,117,ok,,0.001131,default,1.831209,1.8312090967530537,1.8312090967530537,-1.7393947355368304,-3.005768806380175
99,61.257797,52.523145,-0.255414,-0.907554,0.0,0.0,1000.0,0.0,529,1.592482,2.981861,3.13089,117,ok,,0.001112,default,2.981861,2.9818609102941798,2.9818609102941798,-2.8846368299463556,2.8414877432038033
100,41.283922,26.217163,0.21372,0.01012,0.0,0.0,1000.0,0.0,-14,1.577553,2.947004,3.12935,117,ok,,0.001205,default,2.947004,2.947003535427551,2.947003535427551,3.0054598155887398,-0.12389021875194928
101,74.884216,35.991227,0.147795,0.369739,0.0,0.0,1000.0,0.0,-3,1.548739,2.933384,3.118618,117,ok,,0.001352,default,2.933384,2.933384137943784,2.933384137943784,-0.817148532876292,-2.522238948658913
102,43.549429,30.00111,-0.020753,-0.704672,0.0,0.0,1000.0,0.0,20,1.601002,3.021856,3.14044,117,ok,,0.001426,default,3.021856,3.021855730667987,3.021855730667987,1.5739301590001649,-0.7602744510972279
103,64.748025,43.113614,0.289759,0.685048,0.0,0.0,1000.0,0.0,-2,1.63196,3.012331,3.132599,117,ok,,0.001023,default,3.012331,3.0123312276905674,3.0123312276905674,-1.2063263429263884,-1.3555299141638457
104,21.927675,14.866039,-0.179192,-0.271929,0.0,0.0,1000.0,0.0,33,1.516882,3.052404,3.134662,117,ok,,0.001016,default,3.052404,3.0524039879346248,3.0524039879346248,0.060028463200866966,-2.1399664157085887
105,69.489628,23.093269,0.229466,-0.60886,0.0,0.0,1000.0,0.0,-151,1.595862,2.882209,3.101419,117,ok,,0.00129,default,2.882209,2.882208898618237,2.882208898618237,2.7154134917661352,-1.472400729509939
106,68.171024,35.395983,-0.202022,0.441834,0.0,0.0,1000.0,0.0,3,1.514535,2.973595,3.132577,117,ok,,0.000966,default,2.973595,2.973594909417223,2.973594909417223,1.3213740359475352,-2.3067057270596543
107,56.725046,51.868354,0.087392,-0.414646,0.0,0.0,1000.0,0.0,-28,1.575433,2.997575,3.135955,117,ok,,0.000877,default,2.997575,2.9975747766382623,2.9975747766382623,2.5301412066820834,1.9452770160125645
108,39.469301,8.315958,-0.04362,0.503486,0.0,0.0,1000.0,0.0,0,1.627733,2.960286,3.113888,117,ok,,0.000898,default,2.960286,2.960286117782954,2.960286117782954,0.16235545258306772,-2.420403275404272
109,51.290326,29.614984,-0.27829,0.862616,0.0,0.0,1000.0,0.0,1,1.840899,3.022173,3.12241,117,ok,,0.001293,default,3.022173,3.022173235869596,3.022173235869596,1.1731125462742718,1.3879088254350478
110,60.766396,16.094571,0.153307,-0.211276,0.0,0.0,1000.0,0.0,-23,1.557957,2.863631,3.09875,117,ok,,0.000959,default,2.863631,2.8636309077891977,2.8636309077891977,-0.7080477003677643,2.8867044399242836
111,77.140068,76.064341,-0.117361,0.176454,0.0,0.0,1000.0,0.0,4,1.521191,2.903463,3.137294,117,ok,,0.00101,default,2.903463,2.9034634436690703,2.9034634436690703,2.195218517533476,-1.7392093916502596
112,26.477664,13.314675,0.013541,-0.78098,0.0,0.0,1000.0,0.0,-17,1.524929,2.97375,3.107981,117,ok,,0.000843,default,2.97375,2.9737495754950816,2.9737495754950816,-1.2060074921717021,-2.9084271787929374
113,79.929741,10.163526,-0.216134,0.731442,0.0,0.0,1000.0,0.0,1,1.643631,2.982476,3.117898,117,ok,,0.001247,default,2.982476,2.9824763173642643,2.9824763173642643,-0.5839048828947995,1.1654577354104916
114,78.757709,24.955155,0.252853,-0.320275,0.0,0.0,1000.0,0.0,-56,1.59678,2.83207,3.116028,117,ok,,0.000975,default,2.83207,2.8320700906624494,2.8320700906624494,0.750307925008002,2.625293022923099
115,57.633559,48.16192,-0.057659,0.29211,0.0,0.0,1000.0,0.0,1,1.690221,2.993038,3.09962,117,ok,,0.000929,default,2.993038,2.9930378616619637,2.9930378616619637,-0.15422307352443632,-2.001628813067576
116,31.360798,16.880084,0.110853,-0.625091,0.0,0.0,1000.0,0.0,-78,1.629576,3.017231,3.125484,117,ok,,0.001002,default,3.017231,3.017230917624885,3.017230917624885,0.5328668674825376,-2.4592514301292745
117,60.623312,40.258318,0.176777,-0.985197,0.0,0.0,1000.0,0.0,-494,1.541107,2.966983,3.117866,117,ok,,0.001237,default,2.966983,2.96698310500718,2.96698310500718,1.840621207265885,0.6571968455747346
118,47.778861,6.762298,-0.29232,0.089716,0.0,0.0,1000.0,0.0,14,1.634899,3.070745,3.136456,117,ok,,0.001128,default,3.070745,3.0707451001839514,3.0707451001839514,-1.5747664055958381,2.4005885035502637
119,68.97835,66.319201,0.036937,-0.053919,0.0,0.0,1000.0,0.0,-3,1.621726,2.961368,3.10517,117,ok,,0.001263,default,2.961368,2.9613675477867574,2.9613675477867574,-1.1103848692340144,-1.7119552748867193
120,36.221802,19.13195,-0.131464,0.902585,0.0,0.0,1000.0,0.0,0,2.107255,3.0416,3.12963,117,ok,,0.000909,default,3.0416,3.041599638142184,3.041599638142184,-0.6499626562730043,2.0183392587789477
