kernel,k_c,q0_lss,q0_gw,s8_lss,s8_gw,target_error,ligo_impact,score
lorentzian,3.831186849557285,-0.0019999999986380973,-3.9298303331592454e-06,0.772525295455572,0.8298818104762672,0.0025252954555720075,2.9298303331592457e-06,0.0025545937589036
lorentzian,4.216965034285822,-0.0019999999988758797,-4.548470368873705e-06,0.7725252954490466,0.8298632067969701,0.0025252954490465607,3.5484703688737052e-06,0.002560780152735298
lorentzian,4.641588833612772,-0.0019999999990721463,-5.297456356320767e-06,0.7725252954436601,0.8298406843451107,0.0025252954436600916,4.297456356320768e-06,0.0025682700072232993
lorentzian,5.1089697745069245,-0.0019999999992341456,-6.204120700950515e-06,0.7725252954392141,0.8298134216978765,0.0025252954392140925,5.204120700950515e-06,0.0025773366462235976
lorentzian,5.623413251903491,-0.0019999999993678607,-7.301466057337163e-06,0.7725252954355437,0.8297804269671143,0.002525295435543695,6.301466057337163e-06,0.002588310096117067
lorentzian,6.189658188912597,-0.00199999999947823,-8.629313187908328e-06,0.772525295432515,0.8297405039420911,0.0025252954325150068,7.629313187908328e-06,0.0026015885643940902
lorentzian,6.812920690579608,-0.0019999999995693285,-1.0235667905371405e-05,0.7725252954300147,0.8296922095430687,0.0025252954300146735,9.235667905371405e-06,0.0026176521090683874
lorentzian,7.498942093324558,-0.001999999999644522,-1.2178342650360723e-05,0.7725252954279513,0.8296338098910244,0.002525295427951324,1.1178342650360722e-05,0.002637078854454931
lorentzian,8.254041852680173,-0.001999999999706587,-1.452687096141677e-05,0.7725252954262476,0.8295632157984905,0.0025252954262475757,1.352687096141677e-05,0.0026605641358617435
lorentzian,9.085175756516861,-0.0019999999997578153,-1.736475429663442e-05,0.7725252954248422,0.8294779230081332,0.0025252954248421444,1.6364754296634418e-05,0.0026889429678084885
lorentzian,10.0,-0.0019999999998001,-2.079207920792079e-05,0.7725252954236816,0.8293749292131689,0.0025252954236816283,1.979207920792079e-05,0.0027232162157608364
yukawa,0.0001,-0.0007363910029017132,-1e-06,0.8082229053927334,0.8299699214302317,0.03822290539273343,0.0,0.03822290539273343
yukawa,0.00011006941712522093,-0.0008766777423569355,-1e-06,0.8041571870653287,0.8299699214302317,0.034157187065328665,0.0,0.034157187065328665
yukawa,0.00012115276586285888,-0.0010124196990238734,-1e-06,0.8002479965069724,0.8299699214302317,0.030247996506972408,0.0,0.030247996506972408
yukawa,0.0001333521432163324,-0.0011401766109288506,-1e-06,0.7965908972732747,0.8299699214302317,0.026590897273274683,0.0,0.026590897273274683
yukawa,0.0001467799267622069,-0.0012576986610095126,-1e-06,0.7932455993564417,0.8299699214302317,0.02324559935644166,0.0,0.02324559935644166
yukawa,0.00016155980984398745,-0.0013637822343250104,-1e-06,0.7902412931284862,0.8299699214302317,0.020241293128486215,0.0,0.020241293128486215
yukawa,0.00017782794100389227,-0.0014580579348059388,-1e-06,0.7875835765306781,0.8299699214302317,0.017583576530678102,0.0,0.017583576530678102
yukawa,0.00019573417814876596,-0.0015407673505627548,-1e-06,0.7852613210322555,0.8299699214302317,0.015261321032255526,0.0,0.015261321032255526
yukawa,0.00021544346900318845,-0.0016125615028491278,-1e-06,0.7832526261350968,0.8299699214302317,0.013252626135096812,0.0,0.013252626135096812
yukawa,0.00023713737056616554,-0.00167433579226307,-1e-06,0.7815295259150521,0.8299699214302317,0.011529525915052075,0.0,0.011529525915052075
yukawa,0.0002610157215682536,-0.0017271044884622886,-1e-06,0.7800614586881046,0.8299699214302317,0.010061458688104596,0.0,0.010061458688104596
yukawa,0.0002872984833353666,-0.0017719113297635274,-1e-06,0.7788176629355312,0.8299699214302317,0.008817662935531212,0.0,0.008817662935531212
yukawa,0.00031622776601683794,-0.0018097699986538828,-1e-06,0.7777687174283182,0.8299699214302317,0.007768717428318195,0.0,0.007768717428318195
yukawa,0.00034807005884284094,-0.0018416276673135507,-1e-06,0.7768874396642951,0.8299699214302317,0.006887439664295059,0.0,0.006887439664295059
