T_Gyr,I1,I2,I3
0.00015135612484360462,5965.2178585208585,2.2908676527672827e-43,0.9999999998726885
0.0001548816618912315,5844.131146391331,2.398832919018975e-43,0.9999999997426677
0.00015848931924609423,5725.306774722671,2.5118864315090377e-43,0.9999999994893177
0.0001621810097358754,5608.707234544422,2.630267991894811e-43,0.999999999004573
0.000165958690743738,5494.295526705619,2.7542287033375667e-43,0.9999999980934887
0.00016982436524615584,5382.0351575393815,2.884031503125974e-43,0.9999999964107226
0.00017378008287491844,5271.890134501353,3.0199517204013526e-43,0.9999999933552957
0.00017782794100387265,5163.824961784025,3.162277660167681e-43,0.9999999878994326
0.00018197008586097815,5057.804635908909,3.311311214825176e-43,0.9999999783152291
0.000186208713666266,4953.794641298501,3.4673685045245436e-43,0.9999999617459234
0.0001905460717963034,4851.760945829901,3.630780547700201e-43,0.9999999335451975
0.0001949844599757826,4751.66999637198,3.801893963204757e-43,0.9999998862765512
0.00019952623149686543,4653.488714307857,3.981071705534073e-43,0.9999998082235811
0.00020417379446692978,4557.184491044477,4.1686938347024084e-43,0.9999996812091917
0.00020892961308538016,4462.725183511014,4.3651583224006656e-43,0.9999994774558089
0.00021379620895019876,4370.079109647767,4.570881896147705e-43,0.9999991551384207
0.00021877616239493014,4279.215043887207,4.7863009232252844e-43,0.9999986521874189
0.00022387211385680814,4190.102212628777,5.011872336271567e-43,0.9999978777895318
0.00022908676527675078,4102.710289708998,5.248074602496511e-43,0.9999967009149161
0.00023442288153196494,4017.009391868427,5.495408738574967e-43,0.9999949350708708
0.00023988329190192102,3932.970074216925,5.7543993733702246e-43,0.9999923183539196
0.00024547089156847423,3850.5633256987185,6.0255958607421635e-43,0.9999884877508122
0.0002511886431509284,3769.760564558631,6.309573444800446e-43,0.9999829465361679
0.00025703957827685596,3690.53363381088,6.606934480074396e-43,0.9999750235430073
0.00026302679918950697,3612.854796711765,6.9183097091877224e-43,0.9999638230567361
0.00026915348039265947,3536.696732237558,7.244359600748172e-43,0.9999481641185303
0.00027542287033378366,3462.0325305688384,7.585775750290021e-43,0.9999265081354354
0.0002818382931264115,3388.8356885825256,7.943282347240906e-43,0.9998968738952434
0.00028840315031262575,3317.080105352786,8.3176377110247e-43,0.9998567393847146
0.0002951209226666028,3246.7400776619743,8.709635899558695e-43,0.9998029302159549
0.0003019951720401649,3177.7902955227405,9.120108393556878e-43,0.9997314949778967
0.00030902954325132126,3110.2058377123863,9.549925860212023e-43,0.9996375684411528
0.0003162277660167991,3043.9621673205215,9.999999999997545e-43,0.9995152242406318
0.0003235936569295884,2979.0351273110646,1.0471285480506416e-42,0.9993573194189583
0.0003311311214825501,2915.400936099558,1.0964781961429137e-42,0.9991553340051321
0.00033884415613916045,2853.0361831467603,1.1481536214965976e-42,0.9988992095905684
0.00034673685045248843,2791.917824569464,1.2022644346171134e-42,0.9985771916073282
0.00035481338923353103,2732.0231787694047,1.258925411793852e-42,0.9981756806666976
0.0003630780547700557,2673.329922081153,1.3182567385560757e-42,0.9976790988357697
0.0003715352290971257,2615.8160844398158,1.3803842646025368e-42,0.9970697770732744
0.00038018939632051304,2559.4600450693542,1.4454397707455612e-42,0.9963278701769299
0.00038904514499423117,2504.240528192292,1.5135612484358234e-42,0.9954313054844793
0.00039810717055344645,2450.136598761581,1.584893192460709e-42,0.9943557712011581
0.00040738027780406056,2397.1276582153173,1.6595869074371355e-42,0.9930747495916397
0.0004168693834702818,2345.193440255033,1.7378008287489283e-42,0.9915595993817427
0.0004265795188015376,2294.3140066481983,1.8197008586095138e-42,0.9897796905850818
0.0004365158322401094,2244.4697430556057,1.9054607179627534e-42,0.9877025936359214
0.00044668359215090504,2195.641354884221,1.995262314968361e-42,0.9852943232167597
0.00045708818961481536,2147.809863166109,2.089296130853494e-42,0.9825196355718876
0.0004677351412871369,2100.95660046399,2.1877616239489792e-42,0.979342376457185
0.0004786300923225754,2055.06320680396,2.2908676527671702e-42,0.9757258752560423
0.0004897788193683815,2010.111625635899,2.3988329190188566e-42,0.9716333792560096
0.0005011872336272058,1966.0840998220463,2.5118864315089142e-42,0.9670285206919302
0.0005128613839912966,1922.9631676542183,2.6302679918946823e-42,0.961875807974144
0.0005248074602497026,1880.731658900106,2.7542287033374317e-42,0.9561411315812783
0.0005370317963701807,1839.3726908790752,2.884031503125833e-42,0.9497922744417828
0.0005495408738575506,1798.8696645678692,3.019951720401204e-42,0.9427994162799881
0.0005623413251902732,1759.2062607365942,3.162277660167526e-42,0.9351356213714143
0.000575439937337079,1720.3664361153358,3.3113112148250144e-42,0.9267772994355543
0.0005888436553555089,1682.3344195917525,3.4673685045243733e-42,0.9177046299773222
0.0006025595860742755,1645.094708439953,3.630780547700022e-42,0.9079019412444937
0.0006165950018613977,1608.632064580959,3.80189396320457e-42,0.8973580360620457
0.0006309573444801066,1572.9315108750302,3.981071705533879e-42,0.88606645809213
0.0006456542290345664,1537.9783274461038,4.168693834702204e-42,0.8740256935022334
0.0006606934480075045,1503.758048038592,4.3651583224004505e-42,0.861239304552631
0.0006760829753918879,1470.25645640676,4.5708818961474805e-42,0.8477159931859517
0.0006918309709188401,1437.4595827368844,4.786300923225049e-42,0.8334695942662887
0.0007079457843840389,1405.3537001023806,5.011872336271321e-42,0.8185189996262024
0.0007244359600748883,1373.9253209520693,5.2480746024962526e-42,0.8028880154954399
0.0007413102413008131,1343.1611936317322,5.495408738574698e-42,0.786605157169656
0.0007585775750290765,1313.0482989390998,5.754399373369943e-42,0.7697033859024253
0.0007762471166285817,1283.5738467123879,6.025595860741869e-42,0.752219793948147
0.0007943282347241684,1254.7252724524917,6.309573444800136e-42,0.7341952444335377
0.0008128305161639831,1226.4902339789305,6.606934480074072e-42,0.7156739732849047
0.0008317637711025518,1198.8566081196166,6.918309709187382e-42,0.6967031607877934
0.0008511380382022541,1171.8124874345185,7.244359600747816e-42,0.6773324805113834
0.000870963589955955,1145.3461769732583,7.585775750289648e-42,0.6576136333040082
0.0008912509381336165,1119.446191066692,7.943282347240515e-42,0.6375998738743309
0.0009120108393557773,1094.1012501524863,8.317637711024294e-42,0.6173455371343799
0.000933254300796855,1069.3002776347073,8.709635899558266e-42,0.596905571017281
0.0009549925860212963,1045.032396777421,9.120108393556429e-42,0.5763350819170627
0.0009772372209556673,1021.2869276322904,9.54992586021156e-42,0.5556888982535306
0.0009999999999998528,998.0533840001469,9.999999999997056e-42,0.5350211569648555
0.001023292992280603,975.3214704264985,1.0471285480505902e-41,0.5143849169960595
0.0010471285480507444,953.0810792309309,1.09647819614286e-41,0.49383180310338914
0.001071519305237447,931.3222875703425,1.1481536214965413e-41,0.4734116825508756
0.0010964781961430214,910.0353545359485,1.2022644346170543e-41,0.45317237655240195
0.0011220184543017954,889.2107182839766,1.2589254117937902e-41,0.4331594076239159
0.0011481536214967103,868.8389931999671,1.318256738556011e-41,0.4134157833671529
0.0011748975549393526,848.910967096584,1.380384264602469e-41,0.39398181661712894
0.001202264434617231,829.4175984448319,1.4454397707454903e-41,0.3748949813568686
0.001230268770812195,810.3500136385651,1.5135612484357491e-41,0.35618980333846995
0.0012589254117939756,791.6995042921699,1.584893192460631e-41,0.3378977839516374
0.0012882495516929374,773.4575245712884,1.6595869074370541e-41,0.3200473555494342
0.0013182567385562052,755.6156885564501,1.7378008287488433e-41,0.3026638661748303
0.0013489628825914463,738.1657676394628,1.8197008586094242e-41,0.28576959142808833
0.0013803842646026721,721.099687952417,1.9054607179626602e-41,0.2693837710703022
0.0014125375446225358,704.4095278291396,1.9952623149682625e-41,0.25352266786813005
0.0014454397707457033,688.087515298937,2.0892961308533914e-41,0.23819964614380174
0.0014791083881679774,672.1260256124531,2.187761623948872e-41,0.2234252674974262
0.001513561248435972,656.517578799466,2.290867652767058e-41,0.20920740120991965
0.001548816618912239,641.2548372584407,2.39883291901874e-41,0.19555134690884923
0.0015848931924608645,626.330603377648,2.5118864315087906e-41,0.18245996718070046
0.0016218100973586745,611.7378171876558,2.6302679918945533e-41,0.16993382793622247
0.0016595869074372983,597.4695540449936,2.7542287033372956e-41,0.15797134447565642
0.0016982436524614751,583.5190223467861,2.8840315031256913e-41,0.14656893135319848
0.0017378008287490991,569.879561276146,3.019951720401056e-41,0.13572115430084652
0.0017782794100386391,556.5446385781147,3.1622776601673704e-41,0.12542088263711315
0.0018197008586096923,543.50784836593,3.3113112148248517e-41,0.11565944075266954
0.0018620871366625685,530.7629089574036,3.467368504524203e-41,0.10642675743002505
0.0019054607179629405,518.303660741178,3.630780547699845e-41,0.09771151191546812
0.0019498445997577305,506.12406407263796,3.801893963204384e-41,0.08950127581673861
0.0019952623149685563,494.2181971992418,3.9810717055336825e-41,0.08178265004771401
0.0020417379446691975,482.5802542150364,4.168693834701999e-41,0.07454139618057176
0.002089296130853699,471.20454304411936,4.365158322400237e-41,0.06776256169557937
0.0021379620895018827,460.0854834528046,4.570881896147256e-41,0.06143059873824497
0.002187761623949194,449.2176050902476,4.786300923224814e-41,0.05552947610277592
0.0022387211385679717,438.595545557284,5.011872336271076e-41,0.05004278425945152
0.002290867652767395,428.21404850323273,5.248074602495994e-41,0.04495383333179981
0.0023442288153195344,418.0679617504102,5.495408738574427e-41,0.04024574400752756
0.0023988329190190926,408.1522354461057,5.754399373369661e-41,0.03590153143540897
0.0024547089156846218,398.4619202417599,6.025595860741571e-41,0.031904182219237076
0.002511886431509161,388.99216549909056,6.309573444799826e-41,0.028236724670015145
0.0025703957827684335,379.7382175229084,6.606934480073747e-41,0.024882292519402882
0.0026302679918949403,370.6954178203611,6.918309709187041e-41,0.0218241823316776
0.0026915348039264625,361.8592013863463,7.244359600747461e-41,0.019045904878727482
0.0027542287033377015,353.2250950148306,7.585775750289277e-41,0.0165312307635469
0.0028183829312639764,344.7887156358119,7.943282347240125e-41,0.014264230592964666
0.0028840315031261163,336.5457686776608,8.317637711023885e-41,0.012229310010529848
0.002951209226665883,328.4920464545767,8.709635899557839e-41,0.01041123990621251
0.0030199517204015005,320.6234265788932,9.120108393555982e-41,0.00879518212140562
0.0030902954325130612,312.9358703979679,9.549925860211087e-41,0.007366710966174916
0.003162277660167836,305.42542145538886,9.999999999996563e-41,0.006111830861296186
0.003235936569295725,298.0882039762335,1.0471285480505387e-40,0.0050169904107995045
0.003311311214825339,290.92042137611236,1.0964781961428063e-40,0.004069093201923946
0.0033884415613914384,283.9183547937309,1.148153621496485e-40,0.003255505618966481
0.003467368504524714,277.07836164670454,1.2022644346169952e-40,0.002564061945815377
0.0035481338923351365,270.39687421035916,1.2589254117937285e-40,0.0019830670193052846
0.003630780547700379,263.8703982192525,1.3182567385559465e-40,0.0015012966821891238
0.0037153522909710744,257.49551149114984,1.380384264602401e-40,0.001107996270724776
0.003801893963204944,251.26886257318972,1.4454397707454195e-40,0.0007928773578382842
0.0038904514499421205,245.1871694099749,1.513561248435675e-40,0.0005461129587147617
0.003981071705534269,239.24721803332474,1.5848931924605533e-40,0.0003583313916488695
0.004073802778040405,233.44586127342575,1.6595869074369723e-40,0.00022060897317699446
0.004168693834702614,227.78001749111826,1.737800828748758e-40,0.00012446171302116227
0.004265795188015166,222.24666933105738,1.8197008586093347e-40,6.183616128829783e-05
0.0043651583224008795,216.84286249548765,1.905460717962566e-40,2.509954775054002e-05
0.004466835921508831,211.5657045383728,1.9952623149681643e-40,7.029340940656326e-06
