z,mu_obs,sigma_mu,mu_mcgt,mu_lcdm,residual_mcgt,residual_lcdm,delta_mu_vs_lcdm
0.00906,32.799,0.368859,33.03521174480008,33.042862788550075,0.23621174480008023,0.24386278855007504,-0.0076510437499948125
0.00906,32.7498,0.409525,33.03521174480008,33.042862788550075,0.28541174480007925,0.29306278855007406,-0.0076510437499948125
0.00925,32.8914,0.286425,33.080437266214645,33.08824556818415,0.18903726621464756,0.1968455681841519,-0.007808301969504328
0.00925,32.8973,0.282867,33.080437266214645,33.08824556818415,0.18313726621464355,0.19094556818414787,-0.007808301969504328
0.00925,32.9159,0.285505,33.080437266214645,33.08824556818415,0.16453726621464426,0.1723455681841486,-0.007808301969504328
0.00935,32.3353,0.401367,33.1038697506907,33.1117607677338,0.7685697506907019,0.776460767733802,-0.007891017043100135
0.00954,33.0399,0.268981,33.14771148124857,33.155759556289226,0.10781148124856799,0.11585955628922306,-0.008048075040655078
0.00954,33.2135,0.253629,33.14771148124857,33.155759556289226,-0.06578851875143243,-0.057740443710777356,-0.008048075040655078
0.00954,33.2309,0.251906,33.14771148124857,33.155759556289226,-0.08318851875142741,-0.07514044371077233,-0.008048075040655078
0.00954,33.2469,0.254885,33.14771148124857,33.155759556289226,-0.09918851875142565,-0.09114044371077057,-0.008048075040655078
0.00957,32.901,0.309548,33.15455423378314,33.16262709559091,0.25355423378313446,0.26162709559091013,-0.008072861807775666
0.00957,32.8654,0.334488,33.15455423378314,33.16262709559091,0.28915423378313676,0.2972270955909124,-0.008072861807775666
0.00966,32.8029,0.35789,33.17495499494243,33.18310219737903,0.372054994942431,0.3802021973790275,-0.008147202436596501
0.00966,32.9165,0.372831,33.17495499494243,33.18310219737903,0.25845499494243285,0.26660219737902935,-0.008147202436596501
0.00993,33.4753,0.372879,33.23504011841547,33.24341016456554,-0.24025988158452805,-0.2318898354344583,-0.008370046150069754
0.00996,32.6457,0.409088,33.24161551903725,33.25001030952085,0.5959155190372556,0.6043103095208551,-0.008394790483599479
0.00996,32.7458,0.360296,33.24161551903725,33.25001030952085,0.49581551903725085,0.5042103095208503,-0.008394790483599479
0.00996,32.9015,0.334006,33.24161551903725,33.25001030952085,0.3401155190372549,0.3485103095208544,-0.008394790483599479
0.01016,32.7794,0.348547,33.28495373439712,33.29351340295443,0.5055537343971181,0.514113402954429,-0.008559668557310829
0.01017,32.9182,0.365223,33.287098278853954,33.29566618755422,0.36889827885395476,0.37746618755421935,-0.008567908700264582
0.01017,32.9674,0.341878,33.287098278853954,33.29566618755422,0.31969827885395574,0.3282661875542203,-0.008567908700264582
0.01026,33.3378,0.306294,33.306305199726296,33.314947253346546,-0.03149480027370544,-0.022852746653455824,-0.008642053620249612
0.01026,33.2253,0.299086,33.306305199726296,33.314947253346546,0.08100519972629883,0.08964725334654844,-0.008642053620249612
0.01028,33.2788,0.247952,33.31055061077881,33.319209137082055,0.0317506107788148,0.040409137082058066,-0.008658526303243264
0.01042,33.1236,0.317227,33.34004013716562,33.34881393144799,0.21644013716561972,0.22521393144798907,-0.008773794282369352
0.01044,33.0869,0.343916,33.34422068107284,33.353010936460436,0.2573206810728408,0.2661109364604357,-0.008790255387594925
0.01061,33.3806,0.309009,33.37943661250054,33.38836672839953,-0.0011633874994601001,0.007766728399531075,-0.008930115898991176
0.01061,33.2931,0.27457,33.37943661250054,33.38836672839953,0.08633661250053848,0.09526672839952965,-0.008930115898991176
0.01073,33.1081,0.364668,33.403958209108396,33.4129869873607,0.29585820910839544,0.3048869873607032,-0.009028778252307745
0.01079,33.0683,0.324016,33.416116782097696,33.425194872081775,0.34781678209769495,0.3568948720817744,-0.00907808998407944
0.01079,33.1809,0.377969,33.416116782097696,33.425194872081775,0.23521678209769448,0.24429487208177392,-0.00907808998407944
0.01096,33.5709,0.314858,33.45020390433663,33.45942163988221,-0.12069609566336936,-0.11147836011779333,-0.009217735545576033
0.01114,33.7337,0.342487,33.48572702748503,33.49509250930229,-0.2479729725149724,-0.23860749069771003,-0.009365481817262378
0.01114,33.6369,0.29522,33.48572702748503,33.49509250930229,-0.15117297251497064,-0.14180749069770826,-0.009365481817262378
0.01122,33.8347,0.353909,33.501332009713025,33.51076311922611,-0.3333679902869733,-0.3239368807738856,-0.009431109513087677
0.01122,33.4336,0.283424,33.501332009713025,33.51076311922611,0.06773200971302629,0.07716311922611396,-0.009431109513087677
0.01122,33.4947,0.325172,33.501332009713025,33.51076311922611,0.006632009713023024,0.0160631192261107,-0.009431109513087677
0.01155,33.5833,0.281169,33.56455266676475,33.574254243611435,-0.018747333235253905,-0.009045756388566417,-0.009701576846687487
0.01195,33.4974,0.301502,33.638815801511626,33.648844690311904,0.14141580151162714,0.1514446903119051,-0.010028888800277969
0.01213,33.8783,0.346381,33.67143042624307,33.68160641979573,-0.20686957375693282,-0.19669358020427552,-0.010175993552657303
0.0122,33.7023,0.266666,33.683983975688804,33.6942171453708,-0.018316024311197054,-0.008082854629201108,-0.010233169681995946
0.01233,33.7403,0.254135,33.707108678359205,33.71744798545575,-0.03319132164079264,-0.02285201454424879,-0.010339307096543848
