q0_peak,s8,delta_percent_today,q0_early,q0_mid,q0_today
-4.115696202531645698e-01,8.158436248741407493e-01,-1.705587364561345076e+00,-9.999999999999999547e-07,-4.778207214235897712e-03,-4.115696201612353278e-01
-4.052531645569620311e-01,8.160193287751603686e-01,-1.684418219860196686e+00,-9.999999999999999547e-07,-4.704890114157328322e-03,-4.052531644664436605e-01
-3.989367088607594924e-01,8.161961351309163781e-01,-1.663116249287172721e+00,-9.999999999999999547e-07,-4.631573014078758065e-03,-3.989367087716519933e-01
-3.926202531645569538e-01,8.163740517305367872e-01,-1.641680514393149659e+00,-9.999999999999999547e-07,-4.558255914000187807e-03,-3.926202530768602705e-01
-3.863037974683544151e-01,8.165530860629141019e-01,-1.620110112901910426e+00,-9.999999999999999547e-07,-4.484938813921618417e-03,-3.863037973820686033e-01
-3.799873417721518765e-01,8.167332457926856915e-01,-1.598404121363174335e+00,-9.999999999999999547e-07,-4.411621713843048159e-03,-3.799873416872769361e-01
-3.736708860759493378e-01,8.169145386394434105e-01,-1.576561609705618539e+00,-9.999999999999999547e-07,-4.338304613764478769e-03,-3.736708859924852688e-01
-3.673544303797467991e-01,8.170969723781507099e-01,-1.554581641186662644e+00,-9.999999999999999547e-07,-4.264987513685908511e-03,-3.673544302976936016e-01
-3.610379746835443160e-01,8.172805548395633002e-01,-1.532463272341770821e+00,-9.999999999999999547e-07,-4.191670413607339121e-03,-3.610379746029019898e-01
-3.547215189873417773e-01,8.174652939106358263e-01,-1.510205552935432349e+00,-9.999999999999999547e-07,-4.118353313528769731e-03,-3.547215189081103226e-01
-3.484050632911392387e-01,8.176511993834711944e-01,-1.487807303196235109e+00,-9.999999999999999547e-07,-4.045036213450199473e-03,-3.484050632133185998e-01
-3.420886075949367000e-01,8.178382755102293622e-01,-1.465268010815730770e+00,-9.999999999999999547e-07,-3.971719113371629216e-03,-3.420886075185269326e-01
-3.357721518987341613e-01,8.180265322363025060e-01,-1.442586477553911894e+00,-9.999999999999999547e-07,-3.898402013293059826e-03,-3.357721518237352654e-01
-3.294556962025316782e-01,8.182159776719215571e-01,-1.419761726274512581e+00,-9.999999999999999547e-07,-3.825084913214490435e-03,-3.294556961289436536e-01
-3.231392405063291395e-01,8.184066199949487919e-01,-1.396792771692907387e+00,-9.999999999999999547e-07,-3.751767813135920612e-03,-3.231392404341519864e-01
-3.168227848101266009e-01,8.185984674410484718e-01,-1.373678621560413315e+00,-9.999999999999999547e-07,-3.678450713057350788e-03,-3.168227847393603192e-01
-3.105063291139240622e-01,8.187915282911741865e-01,-1.350418278171783948e+00,-9.999999999999999547e-07,-3.605133612978780964e-03,-3.105063290445686519e-01
-3.041898734177215236e-01,8.189858109020405896e-01,-1.327010734693899741e+00,-9.999999999999999547e-07,-3.531816512900210706e-03,-3.041898733497769292e-01
-2.978734177215189849e-01,8.191813236882282689e-01,-1.303454977321893082e+00,-9.999999999999999547e-07,-3.458499412821640882e-03,-2.978734176549852619e-01
-2.915569620253164462e-01,8.193780749426932131e-01,-1.279750006904432524e+00,-9.999999999999999547e-07,-3.385182312743071058e-03,-2.915569619601935947e-01
-2.852405063291139076e-01,8.195760735524285634e-01,-1.255894752719453500e+00,-9.999999999999999547e-07,-3.311865212664501235e-03,-2.852405062654019274e-01
-2.789240506329113689e-01,8.197753279402536508e-01,-1.231888199969445541e+00,-9.999999999999999547e-07,-3.238548112585931411e-03,-2.789240505706102602e-01
-2.726075949367088302e-01,8.199758467618809554e-01,-1.207729305797473840e+00,-9.999999999999999547e-07,-3.165231012507361587e-03,-2.726075948758185929e-01
-2.662911392405062916e-01,8.201776387359558385e-01,-1.183417019764348765e+00,-9.999999999999999547e-07,-3.091913912428791329e-03,-2.662911391810269257e-01
-2.599746835443038084e-01,8.203807126439520703e-01,-1.158950283861185149e+00,-9.999999999999999547e-07,-3.018596812350222373e-03,-2.599746834862352585e-01
-2.536582278481012698e-01,8.205850773306434531e-01,-1.134328032452580626e+00,-9.999999999999999547e-07,-2.945279712271652549e-03,-2.536582277914435912e-01
-2.473417721518987311e-01,8.207907417045582354e-01,-1.109549192221899627e+00,-9.999999999999999547e-07,-2.871962612193082291e-03,-2.473417720966519240e-01
-2.410253164556961925e-01,8.209977147384427409e-01,-1.084612682115335458e+00,-9.999999999999999547e-07,-2.798645512114512467e-03,-2.410253164018602567e-01
