a,q0eff_lss,q0eff_gw,geff_over_g_lss,geff_over_g_gw
3.796992481203008141e-01,-4.718281928680535960e-04,-1.000000007534004384e-06,9.992345836096759859e-01,9.999983771447593650e-01
3.821804511278195648e-01,-5.004535188476449568e-04,-1.000000007992055450e-06,9.991908039783395923e-01,9.999983824213064532e-01
3.846616541353383711e-01,-5.307224466692104809e-04,-1.000000008476406677e-06,9.991446532560812610e-01,9.999983876467173349e-01
3.871428571428571774e-01,-5.627173247769417901e-04,-1.000000008988375837e-06,9.990960211067732022e-01,9.999983928218127982e-01
3.896240601503759837e-01,-5.965231393640225543e-04,-1.000000009529323052e-06,9.990447942940624548e-01,9.999983979473952012e-01
3.921052631578947900e-01,-6.322274056742806974e-04,-1.000000010100648469e-06,9.989908568957681645e-01,9.999984030242490274e-01
3.945864661654135963e-01,-6.699200279288115628e-04,-1.000000010703790773e-06,9.989340905640908819e-01,9.999984080531415520e-01
3.970676691729323471e-01,-7.096931246272225602e-04,-1.000000011340223801e-06,9.988743748358133168e-01,9.999984130348230638e-01
3.995488721804511534e-01,-7.516408158847119299e-04,-1.000000012011454001e-06,9.988115874967138375e-01,9.999984179700277531e-01
4.020300751879699597e-01,-7.958589694190453456e-04,-1.000000012719015139e-06,9.987456050043859168e-01,9.999984228594739344e-01
4.045112781954887660e-01,-8.424449018057516289e-04,-1.000000013464464695e-06,9.986763029735491459e-01,9.999984277038641567e-01
4.069924812030075723e-01,-8.914970316861803648e-04,-1.000000014249377305e-06,9.986035567277383729e-01,9.999984325038863142e-01
4.094736842105263785e-01,-9.431144817533871792e-04,-1.000000015075339037e-06,9.985272419209414441e-01,9.999984372602135352e-01
4.119548872180451293e-01,-9.973966265673008674e-04,-1.000000015943940196e-06,9.984472352323211508e-01,9.999984419735047370e-01
4.144360902255639356e-01,-1.054442583576082693e-03,-1.000000016856766851e-06,9.983634151365764486e-01,9.999984466444049591e-01
4.169172932330827419e-01,-1.114350645157701630e-03,-1.000000017815391730e-06,9.982756627517600512e-01,9.999984512735459186e-01
4.193984962406015482e-01,-1.177217650056775486e-03,-1.000000018821364269e-06,9.981838627654604501e-01,9.999984558615461205e-01
4.218796992481203545e-01,-1.243138293287854041e-03,-1.000000019876200021e-06,9.980879044391627319e-01,9.999984604090114138e-01
4.243609022556391608e-01,-1.312204374417141797e-03,-1.000000020981367953e-06,9.979876826893201436e-01,9.999984649165351014e-01
4.268421052631579116e-01,-1.384503985127069799e-03,-1.000000022138277316e-06,9.978830992421794388e-01,9.999984693846986072e-01
4.293233082706767179e-01,-1.460120638115886601e-03,-1.000000023348264728e-06,9.977740638577271559e-01,9.999984738140712537e-01
