a,D_gr,D_lss,D_gw,q0_lss,q0_gw
3.251127819548872422e-01,3.205645762334247140e-01,2.989282226880108362e-01,3.205532493371220371e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.275939849624060485e-01,3.229091681276583525e-01,3.011087808511796471e-01,3.228977557916096752e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.300751879699248548e-01,3.252508189535045502e-01,3.032865833400877342e-01,3.252393211068916878e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.325563909774436611e-01,3.275894925364332688e-01,3.054615967314704972e-01,3.275779091360170314e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.350375939849624674e-01,3.299251527132838202e-01,3.076337875717908288e-01,3.299134837381558771e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.375187969924812181e-01,3.322577633322652546e-01,3.098031223772389486e-01,3.322460087113332516e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.400000000000000244e-01,3.345872882529564718e-01,3.119695678078712731e-01,3.345754479008206106e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.424812030075188307e-01,3.369136913463058325e-01,3.141330906550254820e-01,3.369017651991357831e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.449624060150376370e-01,3.392369364946313248e-01,3.162936576032874814e-01,3.392249245460430274e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.474436090225564433e-01,3.415569875916206755e-01,3.184512353974913168e-01,3.415448899285528084e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.499248120300752496e-01,3.438738085423312385e-01,3.206057908431993453e-01,3.438616253809221868e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.524060150375940004e-01,3.461873632631899400e-01,3.227572908067025126e-01,3.461750949846544301e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.548872180451128067e-01,3.484976158388033429e-01,3.249057022150205198e-01,3.484852628684994569e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.573684210526316130e-01,3.508045305859226470e-01,3.270509920559012684e-01,3.507920932084532817e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.598496240601504192e-01,3.531080717251007250e-01,3.291931273778214706e-01,3.530955502277584590e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.623308270676692255e-01,3.554082035817554552e-01,3.313320752899862054e-01,3.553955981969038613e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.648120300751880318e-01,3.577048905897504683e-01,3.334678029623291962e-01,3.576922014336247346e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.672932330827067826e-01,3.599980972913949251e-01,3.356002776255125886e-01,3.599853243061813535e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.697744360902255889e-01,3.622877883374439612e-01,3.377294665709272836e-01,3.622749315097779088e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.722556390977443952e-01,3.645739284870980756e-01,3.398553371506924381e-01,3.645609878386825153e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.747368421052632015e-01,3.668564826080035202e-01,3.419778567776559086e-01,3.668434580917159238e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.772180451127820078e-01,3.691354156762522987e-01,3.440969929918706871e-01,3.691223072124635296e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.796992481203008141e-01,3.714106927763819455e-01,3.462127137129728527e-01,3.713975002892756505e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.821804511278195648e-01,3.736822791013756362e-01,3.483249867946800471e-01,3.736690025552670824e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.846616541353383711e-01,3.759501399526624099e-01,3.504337802068956953e-01,3.759367793883174880e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.871428571428571774e-01,3.782142407401168360e-01,3.525390620722284041e-01,3.782007963110711746e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
