k, T, P_m
1.047128548050899575e-02,7.712742786589794619e-01,1.077529884963411605e+05
1.071519305237607009e-02,7.653787953667731125e-01,1.084959381821338611e+05
1.096478196143185063e-02,7.593533926210381813e-01,1.091936800264294288e+05
1.122018454301963036e-02,7.531964488174576200e-01,1.098437004131328722e+05
1.148153621496882971e-02,7.469067121377073182e-01,1.104435485523762181e+05
1.174897554939529146e-02,7.404833721416078651e-01,1.109908682910723146e+05
1.202264434617413176e-02,7.339261329738703266e-01,1.114834323749434989e+05
1.230268770812381098e-02,7.272352860320598911e-01,1.119191784670505731e+05
1.258925411794167490e-02,7.204117795540343483e-01,1.122962460170378181e+05
1.288249551693133529e-02,7.134572822636985334e-01,1.126130128751663724e+05
1.318256738556407466e-02,7.063742380031533541e-01,1.128681303735449765e+05
1.348962882591653312e-02,6.991659082165629924e-01,1.130605554731588636e+05
1.380384264602885214e-02,6.918363992706627608e-01,1.131895785185064160e+05
1.412537544622754007e-02,6.843906719231397373e-01,1.132548451685489417e+05
1.445439770745927943e-02,6.768345307922661869e-01,1.132563711948663113e+05
1.479108388168207111e-02,6.691745924291554459e-01,1.131945490596211603e+05
1.513561248436208657e-02,6.614182315160418435e-01,1.130701455021282745e+05
1.548816618912481069e-02,6.535735057570584150e-01,1.128842897584031889e+05
1.584893192461114125e-02,6.456490611206233687e-01,1.126384524882379774e+05
1.621810097358929864e-02,6.376540201515006334e-01,1.123344159565731825e+05
1.659586907437561251e-02,6.295978570089388882e-01,1.119742364730208064e+05
1.698243652461744330e-02,6.214902636247332524e-01,1.115602004976403114e+05
1.737800828749376178e-02,6.133410118472697459e-01,1.110947761387172941e+05
1.778279410038922925e-02,6.051598166045814020e-01,1.105805619735514192e+05
1.819700858609984290e-02,5.969562049699819184e-01,1.100202352013819473e+05
1.862087136662867598e-02,5.887393955670370271e-01,1.094165010863966309e+05
1.905460717963248368e-02,5.805181920524580264e-01,1.087720454784246103e+05
1.949844599758045541e-02,5.723008935328921520e-01,1.080894919301315676e+05
1.995262314968880915e-02,5.640952237832689287e-01,1.073713645904038276e+05
2.041737944669529473e-02,5.559082801219350500e-01,1.066200576759754331e+05
2.089296130854038577e-02,5.477465018363196769e-01,1.058378119388942432e+05
2.137962089502232557e-02,5.396156572043425692e-01,1.050266981844320253e+05
2.187761623949551967e-02,5.315208474652562964e-01,1.041886075749804440e+05
2.238721138568339902e-02,5.234665255838456543e-01,1.033252481956437841e+05
2.290867652767772378e-02,5.154565273299469563e-01,1.024381471645872371e+05
2.344228815319922624e-02,5.074941120512080905e-01,1.015286574468309700e+05
2.398832919019489723e-02,4.995820105292167468e-01,1.005979684697492048e+05
2.454708915685031162e-02,4.917224774481693261e-01,9.964711963365804695e+04
2.511886431509579437e-02,4.839173462385704116e-01,9.867701585089134460e+04
2.570395782768864629e-02,4.761680843534975005e-01,9.768844432007824071e+04
2.630267991895381477e-02,4.684758473622269714e-01,9.668209183769852098e+04
2.691534803926916644e-02,4.608415305803880702e-01,9.565856205626727024e+04
2.754228703338166065e-02,4.532658172777812022e-01,9.461839220924038091e+04
2.818382931264454966e-02,4.457492228003993584e-01,9.356206893033241795e+04
2.884031503126605750e-02,4.382921342031606549e-01,9.249004289467372291e+04
2.951209226666387173e-02,4.308948452097748349e-01,9.140274209806807630e+04
3.019951720402016052e-02,4.235575864950794633e-01,9.030058366694532742e+04
3.090295432513592150e-02,4.162805514245719318e-01,8.918398415496012603e+04
3.162277660168379134e-02,4.090639174891864127e-01,8.805336833296026452e+04
3.235936569296284093e-02,4.019078637449098879e-01,8.690917651816857688e+04
3.311311214825911342e-02,3.948125846115543847e-01,8.575187051719187002e+04
3.388441561392027679e-02,3.877783004077166584e-01,8.458193827734382648e+04
3.467368504525316503e-02,3.808052650043876053e-01,8.339989735323183413e+04
3.548133892335756517e-02,3.738937709719231117e-01,8.220629730203271902e+04
3.630780547701013827e-02,3.670441525778749270e-01,8.100172112266931799e+04
3.715352290971724036e-02,3.602567869694838221e-01,7.978678585233741615e+04
3.801893963205612431e-02,3.535320938470167262e-01,7.856214242950033804e+04
3.890451449942804868e-02,3.468705339044919622e-01,7.732847492636638344e+04
3.981071705534973415e-02,3.402726062842064136e-01,7.608649924664763967e+04
4.073802778041125949e-02,3.337388452619693413e-01,7.483696137658038060e+04
4.168693834703354750e-02,3.272698163517873682e-01,7.358063526914757676e+04
4.265795188015925749e-02,3.208661119925019234e-01,7.231832043348674779e+04
4.365158322401661156e-02,3.145283469547817123e-01,7.105083929377635650e+04
4.466835921509629964e-02,3.082571535851310052e-01,6.977903437462811416e+04
4.570881896148751983e-02,3.020531769841328651e-01,6.850376536323488108e+04
4.677351412871981473e-02,2.959170701990193053e-01,6.722590609229802794e+04
4.786300923226385201e-02,2.898494894956503143e-01,6.594634148208009719e+04
4.897788193684461666e-02,2.838510897620092899e-01,6.466596447480340430e+04
5.011872336272724798e-02,2.779225200841477506e-01,6.338567299001784704e+04
5.128613839913648276e-02,2.720644195259980802e-01,6.210636692545273399e+04
5.248074602497728586e-02,2.662774131364093466e-01,6.082894522422026785e+04
5.370317963702526953e-02,2.605621082000024735e-01,5.955430302600823779e+04
5.495408738576248314e-02,2.549190907427881236e-01,5.828332891704061331e+04
5.623413251903491145e-02,2.493489222988403697e-01,5.701690229107107734e+04
5.754399373371572174e-02,2.438521369404765549e-01,5.575589083145021868e+04
5.888436553555889685e-02,2.384292385713044360e-01,5.450114812235593126e+04
6.025595860743580834e-02,2.330806984789876302e-01,5.325351139555407281e+04
6.165950018614822087e-02,2.278069531426118732e-01,5.201379941753859021e+04
6.309573444801935826e-02,2.226084022879733781e-01,5.078281052056076442e+04
6.456542290346556356e-02,2.174854071829405711e-01,4.956132077987726370e+04
6.606934480075957183e-02,2.124382891641391491e-01,4.835008233849770477e+04
6.760829753919818386e-02,2.074673283855861805e-01,4.714982187978877482e+04
6.918309709189363055e-02,2.025727627794563501e-01,4.596123924746859848e+04
7.079457843841380216e-02,1.977547872188968603e-01,4.478500621179591690e+04
7.244359600749898653e-02,1.930135528726767136e-01,4.362176538011134107e+04
7.413102413009177438e-02,1.883491667414232684e-01,4.247212924931036832e+04
7.585775750291835762e-02,1.837616913652654060e-01,4.133667939731766091e+04
7.762471166286918911e-02,1.792511446928174434e-01,4.021596581017560675e+04
7.943282347242813790e-02,1.748175001016310515e-01,3.911050634096246358e+04
8.128305161640994592e-02,1.704606865604442467e-01,3.802078629639627616e+04
8.317637711026708291e-02,1.661805889238171519e-01,3.694725814667421218e+04
8.511380382023767122e-02,1.619770483500036773e-01,3.589034135382401291e+04
8.709635899560805306e-02,1.578498628331995446e-01,3.485042231361319864e+04
8.912509381337459236e-02,1.537987878415930654e-01,3.382785440586206096e+04
9.120108393559096804e-02,1.498235370529521771e-01,3.282295814784343384e+04
9.332543007969915094e-02,1.459237831797725593e-01,3.183602144531651720e+04
9.549925860214358853e-02,1.420991588763244329e-01,3.086729993563974494e+04
9.772372209558111145e-02,1.383492577202194984e-01,2.991701741732823211e+04
1.000000000000000056e-01,1.346736352614301691e-01,2.898536636037525750e+04
1.023292992280754737e-01,1.310718101319684747e-01,2.807250849162842133e+04
1.047128548050899610e-01,1.275432652097288622e-01,2.717857544951426098e+04
1.071519305237607078e-01,1.240874488302675244e-01,2.630366950242343955e+04
1.096478196143185063e-01,1.207037760405739735e-01,2.544786432511615203e+04
1.122018454301964147e-01,1.173916298891444360e-01,2.461120582756732256e+04
1.148153621496882937e-01,1.141503627469400151e-01,2.379371303075812102e+04
1.174897554939530325e-01,1.109792976540516785e-01,2.299537898401800339e+04
1.202264434617413141e-01,1.078777296871553104e-01,2.221617171864223565e+04
1.230268770812381063e-01,1.048449273430684808e-01,2.145603523264060277e+04
1.258925411794167559e-01,1.018801339339654305e-01,2.071489050162245985e+04
1.288249551693133599e-01,9.898256899003096687e-02,1.999263651098261107e+04
1.318256738556407293e-01,9.615142966555657866e-02,1.928915130472433157e+04
1.348962882591653312e-01,9.338589214470756350e-02,1.860429304644031799e+04
1.380384264602885214e-01,9.068511304339267609e-02,1.793790108816089923e+04
1.412537544622753938e-01,8.804823080388649026e-02,1.728979704298188881e+04
1.445439770745927943e-01,8.547436707904759734e-02,1.665978585758729241e+04
1.479108388168207111e-01,8.296262810318348613e-02,1.604765688099643012e+04
1.513561248436208762e-01,8.051210604679703842e-02,1.545318492607854569e+04
1.548816618912481069e-01,7.812188035264705510e-02,1.487613132059831696e+04
1.584893192461114264e-01,7.579101905073068468e-02,1.431624494477480039e+04
1.621810097358929725e-01,7.351858004998319818e-02,1.377326325255908159e+04
1.659586907437561321e-01,7.130361240465736550e-02,1.324691327405506854e+04
1.698243652461744191e-01,6.914515755352233783e-02,1.273691259672942942e+04
1.737800828749376247e-01,6.704225053018032787e-02,1.224297032327202760e+04
1.778279410038922925e-01,6.499392114296689837e-02,1.176478800418398350e+04
1.819700858609984429e-01,6.299919512305068858e-02,1.130206054337910973e+04
1.862087136662867459e-01,6.105709523950554607e-02,1.085447707529098807e+04
1.905460717963248229e-01,5.916664238026956429e-02,1.042172181217644174e+04
1.949844599758045471e-01,5.732685659805202005e-02,1.000347486050079897e+04
1.995262314968880846e-01,5.553675812038180032e-02,9.599413005476020771e+03
2.041737944669529681e-01,5.379536832312784012e-02,9.209210463003484620e+03
2.089296130854040867e-01,5.210171066694388453e-02,8.832539598443765499e+03
2.137962089502232488e-01,5.045481159621696687e-02,8.469071611800329265e+03
2.187761623949551759e-01,4.885370140021184915e-02,8.118477189058993645e+03
2.238721138568340041e-01,4.729741503621882198e-02,7.780427119571744697e+03
2.290867652767772378e-01,4.578499291461707310e-02,7.454592879511344108e+03
2.344228815319922832e-01,4.431548164586694705e-02,7.140647181551694302e+03
2.398832919019489862e-01,4.288793474954358254e-02,6.838264491049440039e+03
2.454708915685031023e-01,4.150141332561162189e-02,6.547121509112220338e+03
2.511886431509579576e-01,4.015498668823055950e-02,6.266897623041557381e+03
2.570395782768864490e-01,3.884773296245742219e-02,5.997275324730545435e+03
2.630267991895381408e-01,3.757873964429236935e-02,5.737940597681153122e+03
2.691534803926916575e-01,3.634710412458022621e-02,5.488583273380932951e+03
2.754228703338166273e-01,3.515193417734930464e-02,5.248897357846429259e+03
2.818382931264454827e-01,3.399234841322588963e-02,5.018581329198942512e+03
2.884031503126605611e-01,3.286747669862181975e-02,4.797338407189966347e+03
2.951209226666386964e-01,3.177646054143934418e-02,4.584876795636229872e+03
3.019951720402015982e-01,3.071845344408682260e-02,4.380909898761298791e+03
3.090295432513592289e-01,2.969262122463613499e-02,4.185156512468907749e+03
3.162277660168379412e-01,2.869814230699284721e-02,3.997340991596801814e+03
3.235936569296284371e-01,2.773420798097873258e-02,3.817193394215378703e+03
3.311311214825911065e-01,2.680002263325700906e-02,3.644449604046758850e+03
3.388441561392027679e-01,2.589480395005138574e-02,3.478851432084335556e+03
3.467368504525316641e-01,2.501778309263204270e-02,3.320146698493521399e+03
3.548133892335756934e-01,2.416820484655494983e-02,3.168089295869204761e+03
3.630780547701014105e-01,2.334532774565495350e-02,3.022439234916906116e+03
3.715352290971727922e-01,2.254842417179922162e-02,2.882962673611356422e+03
3.801893963205612570e-01,2.177678043141499653e-02,2.749431930870156066e+03
3.890451449942805007e-01,2.102969680980471337e-02,2.621625485760001084e+03
3.981071705534973137e-01,2.030648760426260677e-02,2.499327963230953173e+03
4.073802778041126227e-01,1.960648113700128731e-02,2.382330107348857382e+03
4.168693834703355305e-01,1.892901974889011490e-02,2.270428742968799270e+03
