k, T, P_m
3.019951720402016052e-02,4.235575864950794633e-01,8.339109354529036500e+04
3.090295432513592150e-02,4.162805514245719318e-01,8.235993238801570260e+04
3.162277660168379134e-02,4.090639174891864127e-01,8.131582740056715556e+04
3.235936569296284093e-02,4.019078637449098879e-01,8.025918520860781427e+04
3.311311214825911342e-02,3.948125846115543847e-01,7.919043228289108083e+04
3.388441561392027679e-02,3.877783004077166584e-01,7.811001923468025052e+04
3.467368504525316503e-02,3.808052650043876053e-01,7.701842401708404941e+04
3.548133892335756517e-02,3.738937709719231117e-01,7.591615413705399260e+04
3.630780547701013827e-02,3.670441525778749270e-01,7.480374798444025510e+04
3.715352290971724036e-02,3.602567869694838221e-01,7.368177538287437346e+04
3.801893963205612431e-02,3.535320938470167262e-01,7.255083746324702224e+04
3.890451449942804868e-02,3.468705339044919622e-01,7.141156595491360349e+04
3.981071705534973415e-02,3.402726062842064136e-01,7.026462198309610540e+04
4.073802778041125949e-02,3.337388452619693413e-01,6.911069445372952032e+04
4.168693834703354750e-02,3.272698163517873682e-01,6.795049809957605612e+04
4.265795188015925749e-02,3.208661119925019234e-01,6.678477125408352003e+04
4.365158322401661156e-02,3.145283469547817123e-01,6.561427341236062057e+04
4.466835921509629964e-02,3.082571535851310052e-01,6.443978263193309976e+04
4.570881896148751983e-02,3.020531769841328651e-01,6.326209281968628056e+04
4.677351412871981473e-02,2.959170701990193053e-01,6.208201094564830419e+04
4.786300923226385201e-02,2.898494894956503143e-01,6.090035421902642702e+04
4.897788193684461666e-02,2.838510897620092899e-01,5.971794725717492838e+04
5.011872336272724798e-02,2.779225200841477506e-01,5.853561927392765938e+04
5.128613839913648276e-02,2.720644195259980802e-01,5.735420130993438215e+04
5.248074602497728586e-02,2.662774131364093466e-01,5.617452352427182632e+04
5.370317963702526953e-02,2.605621082000024735e-01,5.499741256361715205e+04
5.495408738576248314e-02,2.549190907427881236e-01,5.382368902263237396e+04
5.623413251903491145e-02,2.493489222988403697e-01,5.265416500688527594e+04
5.754399373371572174e-02,2.438521369404765549e-01,5.148964180758043949e+04
5.888436553555889685e-02,2.384292385713044360e-01,5.033090769556986925e+04
6.025595860743580834e-02,2.330806984789876302e-01,4.917873584052395017e+04
6.165950018614822087e-02,2.278069531426118732e-01,4.803388235974022246e+04
6.309573444801935826e-02,2.226084022879733781e-01,4.689708449983147875e+04
6.456542290346556356e-02,2.174854071829405711e-01,4.576905895344472810e+04
6.606934480075957183e-02,2.124382891641391491e-01,4.465050031219300581e+04
6.760829753919818386e-02,2.074673283855861805e-01,4.354207965613088163e+04
6.918309709189363055e-02,2.025727627794563501e-01,4.244444327934186731e+04
7.079457843841380216e-02,1.977547872188968603e-01,4.135821155053468101e+04
7.244359600749898653e-02,1.930135528726767136e-01,4.028397790694620198e+04
7.413102413009177438e-02,1.883491667414232684e-01,3.922230797931581765e+04
7.585775750291835762e-02,1.837616913652654060e-01,3.817373884522536537e+04
7.762471166286918911e-02,1.792511446928174434e-01,3.713877840767670568e+04
7.943282347242813790e-02,1.748175001016310515e-01,3.611790489541142597e+04
8.128305161640994592e-02,1.704606865604442467e-01,3.511156648114641575e+04
8.317637711026708291e-02,1.661805889238171519e-01,3.412018101361543086e+04
8.511380382023767122e-02,1.619770483500036773e-01,3.314413585905437503e+04
8.709635899560805306e-02,1.578498628331995446e-01,3.218378784755538436e+04
8.912509381337459236e-02,1.537987878415930654e-01,3.123946331953018307e+04
9.120108393559096804e-02,1.498235370529521771e-01,3.031145826737216703e+04
9.332543007969915094e-02,1.459237831797725593e-01,2.940003856728190658e+04
9.549925860214358853e-02,1.420991588763244329e-01,2.850544029612632221e+04
