z,a,rho_m_over_rho_m0,Omega_m_z,tau_gyr
396.49561952,2.515750994178e-03,6.280540797032e+07,9.999999653755e-01,1.010247511919e+00
395.11889862,2.524494548166e-03,6.215508841582e+07,9.999999650133e-01,1.010247512102e+00
393.74217772,2.533299090993e-03,6.150927358987e+07,9.999999646459e-01,1.010247512287e+00
392.36545682,2.542165263014e-03,6.086794783616e+07,9.999999642734e-01,1.010247512475e+00
390.98873592,2.551093713581e-03,6.023109549840e+07,9.999999638957e-01,1.010247512666e+00
389.61201502,2.560085101202e-03,5.959870092029e+07,9.999999635126e-01,1.010247512860e+00
388.23529412,2.569140093698e-03,5.897074844555e+07,9.999999631240e-01,1.010247513056e+00
386.85857322,2.578259368375e-03,5.834722241788e+07,9.999999627300e-01,1.010247513255e+00
385.48185232,2.587443612188e-03,5.772810718099e+07,9.999999623303e-01,1.010247513457e+00
384.10513141,2.596693521916e-03,5.711338707857e+07,9.999999619248e-01,1.010247513662e+00
382.72841051,2.606009804337e-03,5.650304645434e+07,9.999999615135e-01,1.010247513869e+00
381.35168961,2.615393176410e-03,5.589706965201e+07,9.999999610963e-01,1.010247514080e+00
379.97496871,2.624844365455e-03,5.529544101527e+07,9.999999606730e-01,1.010247514294e+00
378.59824781,2.634364109344e-03,5.469814488784e+07,9.999999602436e-01,1.010247514511e+00
377.22152691,2.643953156695e-03,5.410516561342e+07,9.999999598078e-01,1.010247514731e+00
375.84480601,2.653612267062e-03,5.351648753572e+07,9.999999593657e-01,1.010247514954e+00
374.46808511,2.663342211141e-03,5.293209499844e+07,9.999999589171e-01,1.010247515181e+00
373.09136421,2.673143770973e-03,5.235197234529e+07,9.999999584619e-01,1.010247515411e+00
371.71464330,2.683017740154e-03,5.177610391997e+07,9.999999579999e-01,1.010247515644e+00
370.33792240,2.692964924048e-03,5.120447406620e+07,9.999999575310e-01,1.010247515881e+00
368.96120150,2.702986140007e-03,5.063706712767e+07,9.999999570551e-01,1.010247516121e+00
367.58448060,2.713082217597e-03,5.007386744810e+07,9.999999565721e-01,1.010247516365e+00
366.20775970,2.723253998821e-03,4.951485937118e+07,9.999999560818e-01,1.010247516613e+00
364.83103880,2.733502338359e-03,4.896002724063e+07,9.999999555841e-01,1.010247516864e+00
363.45431790,2.743828103805e-03,4.840935540015e+07,9.999999550789e-01,1.010247517120e+00
362.07759700,2.754232175912e-03,4.786282819345e+07,9.999999545659e-01,1.010247517379e+00
360.70087610,2.764715448842e-03,4.732042996423e+07,9.999999540452e-01,1.010247517642e+00
359.32415519,2.775278830423e-03,4.678214505620e+07,9.999999535164e-01,1.010247517909e+00
357.94743429,2.785923242410e-03,4.624795781307e+07,9.999999529795e-01,1.010247518180e+00
356.57071339,2.796649620755e-03,4.571785257853e+07,9.999999524343e-01,1.010247518456e+00
355.19399249,2.807458915878e-03,4.519181369631e+07,9.999999518806e-01,1.010247518735e+00
353.81727159,2.818352092953e-03,4.466982551009e+07,9.999999513183e-01,1.010247519019e+00
352.44055069,2.829330132189e-03,4.415187236360e+07,9.999999507472e-01,1.010247519308e+00
351.06382979,2.840394029129e-03,4.363793860053e+07,9.999999501671e-01,1.010247519601e+00
349.68710889,2.851544794949e-03,4.312800856459e+07,9.999999495779e-01,1.010247519898e+00
348.31038798,2.862783456766e-03,4.262206659949e+07,9.999999489794e-01,1.010247520201e+00
346.93366708,2.874111057953e-03,4.212009704894e+07,9.999999483714e-01,1.010247520508e+00
345.55694618,2.885528658464e-03,4.162208425663e+07,9.999999477536e-01,1.010247520820e+00
344.18022528,2.897037335161e-03,4.112801256627e+07,9.999999471260e-01,1.010247521137e+00
342.80350438,2.908638182156e-03,4.063786632158e+07,9.999999464883e-01,1.010247521459e+00
341.42678348,2.920332311156e-03,4.015162986626e+07,9.999999458402e-01,1.010247521786e+00
340.05006258,2.932120851820e-03,3.966928754401e+07,9.999999451817e-01,1.010247522119e+00
338.67334168,2.944004952118e-03,3.919082369853e+07,9.999999445124e-01,1.010247522457e+00
337.29662078,2.955985778712e-03,3.871622267355e+07,9.999999438323e-01,1.010247522801e+00
335.91989987,2.968064517327e-03,3.824546881275e+07,9.999999431409e-01,1.010247523150e+00
334.54317897,2.980242373153e-03,3.777854645985e+07,9.999999424381e-01,1.010247523505e+00
333.16645807,2.992520571238e-03,3.731543995856e+07,9.999999417238e-01,1.010247523866e+00
331.78973717,3.004900356902e-03,3.685613365257e+07,9.999999409975e-01,1.010247524233e+00
330.41301627,3.017382996159e-03,3.640061188560e+07,9.999999402592e-01,1.010247524605e+00
329.03629537,3.029969776146e-03,3.594885900135e+07,9.999999395084e-01,1.010247524985e+00
327.65957447,3.042662005567e-03,3.550085934353e+07,9.999999387451e-01,1.010247525370e+00
326.28285357,3.055461015147e-03,3.505659725584e+07,9.999999379688e-01,1.010247525762e+00
324.90613267,3.068368158096e-03,3.461605708199e+07,9.999999371794e-01,1.010247526161e+00
323.52941176,3.081384810585e-03,3.417922316568e+07,9.999999363765e-01,1.010247526567e+00
322.15269086,3.094512372240e-03,3.374607985063e+07,9.999999355598e-01,1.010247526979e+00
320.77596996,3.107752266637e-03,3.331661148053e+07,9.999999347292e-01,1.010247527399e+00
319.39924906,3.121105941820e-03,3.289080239910e+07,9.999999338842e-01,1.010247527826e+00
318.02252816,3.134574870831e-03,3.246863695004e+07,9.999999330245e-01,1.010247528260e+00
316.64580726,3.148160552248e-03,3.205009947705e+07,9.999999321499e-01,1.010247528702e+00
315.26908636,3.161864510742e-03,3.163517432384e+07,9.999999312600e-01,1.010247529151e+00
313.89236546,3.175688297648e-03,3.122384583412e+07,9.999999303544e-01,1.010247529609e+00
312.51564456,3.189633491551e-03,3.081609835159e+07,9.999999294329e-01,1.010247530074e+00
311.13892365,3.203701698884e-03,3.041191621997e+07,9.999999284950e-01,1.010247530548e+00
309.76220275,3.217894554549e-03,3.001128378295e+07,9.999999275405e-01,1.010247531030e+00
308.38548185,3.232213722547e-03,2.961418538424e+07,9.999999265689e-01,1.010247531521e+00
307.00876095,3.246660896631e-03,2.922060536754e+07,9.999999255798e-01,1.010247532020e+00
