T,P_calc,dP_dT
0.0014884035956814188,1.0189802651387896,39.93476285420992
0.0015231030689569485,1.0203617738740947,39.696664518981116
0.001558611498518994,1.0217662429615326,39.41409740960448
0.0015949477437395205,1.023192426931493,39.08983956448651
0.0016321311036630892,1.0246390743058436,38.72654754433093
0.0016701813272570398,1.0261049273307508,38.326761584451674
0.0017091186239006372,1.0275887217249422,37.89291051740431
0.001748963674118753,1.02908918644353,37.42731647654689
0.001789737640565785,1.0306050434575298,36.93219939063413
0.0018314621792656467,1.0321350075492053,36.40968127906607
0.0018741594511137956,1.033677786123391,35.861790356954714
0.0019178521336474142,1.0352320790349412,35.29046495873639
0.0019625634330899884,1.0367965784324655,34.6975572886445
0.0020083170966766857,1.038369968618515,34.08483700596348
0.0020551374252670753,1.03995092592639,33.45399465261223
0.0021030492862518964,1.0415381186137425,32.80664493024888
0.0021520781267607174,1.0431302067731552,32.144329833752145
0.0022022499871775137,1.0447258422598757,31.468521647612945
0.002253591514971335,1.046323668636896,30.78062581146458
0.0023061299788494126,1.0479223211375586,30.08198366068993
0.002359893283240214,1.049520426645886,29.373875047767267
0.0024149099831141524,1.0511166036948196,28.65752084975411
0.0024712092991498115,1.0527094624825586,27.93408536705828
0.002528821133253741,1.054297604907191,27.204678618407456
0.002587776084442071,1.0558796246198079,26.47035853670245
0.0026481054650923795,1.0574541070962844,25.732133070223576
0.002709841317574441,1.0590196297279177,24.990962193454756
0.002773016431268689,1.0605747619311021,24.247759831594546
0.0028376643599814385,1.0621180652762208,23.50339570263751
0.0029038194397661117,1.0636480936359296,22.758697080732208
0.002971516807159932,1.0651633933530007,22.014450484353606
0.003040792417845774,1.066662503427891,21.271403292666932
0.0031116830657490846,1.0681439557261907,20.530265293307245
0.003184226402580011,1.0696062752061033,19.791710164652905
0.00325846095783112,1.071047980166096,19.05637689553248
0.0033344261592413286,1.0724675825128545,18.324871145172114
0.0034121623537369155,1.0738635880496636,17.597766546064076
0.0034917108288607325,1.075234496785328,16.875605952317084
