T,dP_dT
0.0020551374252670753,33.45399465261223
0.0021030492862518964,32.80664493024888
0.0021520781267607174,32.144329833752145
0.0022022499871775137,31.468521647612945
0.002253591514971335,30.78062581146458
0.0023061299788494126,30.08198366068993
0.002359893283240214,29.373875047767267
0.0024149099831141524,28.65752084975411
0.0024712092991498115,27.93408536705828
0.002528821133253741,27.204678618407456
0.002587776084442071,26.47035853670245
0.0026481054650923795,25.732133070223576
0.002709841317574441,24.990962193454756
0.002773016431268689,24.247759831594546
0.0028376643599814385,23.50339570263751
0.0029038194397661117,22.758697080732208
0.002971516807159932,22.014450484353606
0.003040792417845774,21.271403292666932
0.0031116830657490846,20.530265293307245
0.003184226402580011,19.791710164652905
0.00325846095783112,19.05637689553248
0.0033344261592413286,18.324871145172114
0.0034121623537369155,17.597766546064076
0.0034917108288607325,16.875605952317084
0.0035731138347010007,16.158902635934126
0.0036564146063313395,15.448141433354134
0.003741657386773942,14.743779844489517
0.0038288874504980967,14.04624908639201
0.003918151127466536,13.355955103584296
0.0040094958277423825,12.673279537004278
0.004102970066669762,11.998580653422252
0.004198623490641454,11.332194237108837
0.004296506903467278,10.674434445452512
0.0043966722933572,10.02559463015042
0.0044991728605335134,9.38594812552416
0.0046040630454867405,8.755749005443644
0.00471139855789027,8.135232810276424
0.004821236406189097,7.524617245217221
0.004933634927878356,6.924102851292435
0.005048653820487762,6.333873650277141
0.005166354173288383,5.754097764707241
0.005286798499738609,5.184928014117144
0.005410050770686532,4.6265024885831085
0.005536176448346397,4.078945100604567
0.005665242521067126,3.5423661163097853
0.0057973175389114395,3.0168626669283105
0.005932471650064416,2.502519241430705
0.006070776638090869,1.9994081611957029
0.006212305960061301,1.5075900375264806
0.006357134785566707,1.0271142128007615
0.006505340036642926,0.5580191860041334
0.006657000428625774,0.10033302336204979
0.006812196511958626,-0.34592624524648685
0.006971010714974675,-0.7807502434417004
0.007133527387676587,-1.2041398784402744
0.007299832846536769,-1.6161049835036656
0.007470015420342143,-2.0166639721715836
0.0076441654971076385,-2.4058435037410613
0.007822375572083422,-2.7836781594768167
0.008004740296881335,-3.1502101290628555
0.008191356529746605,-3.505488906828543
0.008382323387001575,-3.849570997304716
0.008577742295688738,-4.182519629686855
0.008777717047441045,-4.504404480802918
0.008982353853608124,-4.81530140620324
0.009191761401667648,-5.115292179008845
0.009406050912951845,-5.404464236172796
0.009625336201719788,-5.682910431826705
0.009849733735606863,-5.950728797401323
0.010079362697483487,-6.20802230822633
0.010314345048756012,-6.454898656329897
0.010554805594143265,-6.691470029173573
0.010800872047963346,-6.9178528940722686
0.01105267510196574,-7.134167788062923
0.011310348494744792,-7.340539112998578
0.011574029082771487,-7.537094935657292
0.01184385691308116,-7.723966792667419
0.012119975297655813,-7.901289500062523
0.01240253088954052,-8.069200967290309
0.012691673760734348,-8.227842015510703
0.012987557481897172,-8.377356200028537
0.013290339203914696,-8.517889636716102
0.013600179741365046,-8.64959083229028
0.0139172436579312,-8.772610518318018
0.01424169935380469,-8.88710148883259
0.014573719155126947,-8.993218441451248
0.01491347940551581,-9.0911178218929
0.015261160559725831,-9.180957671801913
0.015616947279492076,-9.26289747979136
0.015981028531608373,-9.337116812670892
0.01635359768829208,-9.404143162896688
0.016734852629888657,-9.46439962980923
0.017124995849970643,-9.51802445741875
0.01752423456288679,-9.564924767608584
0.017932780813818553,-9.604826654019735
0.018350851591402338,-9.637321767120778
0.01877866894297734,-9.66191052064698
0.019216460092520045,-9.67804204898885
0.019664457561328504,-9.685151044241906
0.02012289929151978,-9.68269160051426
0.020592028772406713,-9.670168191744347
0.021072095169820875,-9.647163907724684
0.02156335345845049,-9.613366071276332
0.022066064557263544,-9.56858935758841
0.022580495468088064,-9.512796534643757
0.02310691941742314,-9.446116941410914
0.023645616001556034,-9.36886281810859
0.024196871335062396,-9.28154360035611
0.024760978202768555,-9.184878286425395
0.025338236215256483,-9.079805984120178
0.02592895196799412,-8.967464434229159
0.026533439204175512,-8.848638372445047
0.027152018981357297,-8.723935216451162
0.027785019841980015,-8.593933260133223
0.028432777987864803,-8.45918244657281
0.029095637458778204,-8.3202051520113
0.02977395031515985,-8.177496978133117
0.030468076825110164,-8.031527550172259
0.031178385655737304,-7.882741318498736
