k, P_prim, T, P_m
7.413102413009177438e-02,2.071171883683697581e-09,1.883491667414232684e-01,7.347566887975525074e-11
7.585775750291835762e-02,2.069498623569311219e-09,1.837616913652654060e-01,6.988357291237309657e-11
7.762471166286918911e-02,2.067826715249738059e-09,1.792511446928174434e-01,6.644128409517126223e-11
7.943282347242813790e-02,2.066156157632889588e-09,1.748175001016310515e-01,6.314412549227028928e-11
8.128305161640994592e-02,2.064486949627558240e-09,1.704606865604442467e-01,5.998747866789960160e-11
8.317637711026708291e-02,2.062819090143419466e-09,1.661805889238171519e-01,5.696678751818975500e-11
8.511380382023767122e-02,2.061152578091028422e-09,1.619770483500036773e-01,5.407756192496139024e-11
8.709635899560805306e-02,2.059487412381820800e-09,1.578498628331995446e-01,5.131538121472392445e-11
8.912509381337459236e-02,2.057823591928111996e-09,1.537987878415930654e-01,4.867589740891947273e-11
9.120108393559096804e-02,2.056161115643095460e-09,1.498235370529521771e-01,4.615483825410217269e-11
9.332543007969915094e-02,2.054499982440843106e-09,1.459237831797725593e-01,4.374801002320783719e-11
9.549925860214358853e-02,2.052840191236304489e-09,1.420991588763244329e-01,4.145130008136942454e-11
9.772372209558111145e-02,2.051181740945304734e-09,1.383492577202194984e-01,3.926067921184346197e-11
1.000000000000000056e-01,2.049524630484545775e-09,1.346736352614301691e-01,3.717220369957011326e-11
1.023292992280754737e-01,2.047868858771604706e-09,1.310718101319684747e-01,3.518201717166138308e-11
1.047128548050899610e-01,2.046214424724932123e-09,1.275432652097288622e-01,3.328635219573937673e-11
1.071519305237607078e-01,2.044561327263853365e-09,1.240874488302675244e-01,3.148153163850548649e-11
1.096478196143185063e-01,2.042909565308566861e-09,1.207037760405739735e-01,2.976396978824197649e-11
1.122018454301964147e-01,2.041259137780142473e-09,1.173916298891444360e-01,2.813017324611374932e-11
1.148153621496882937e-01,2.039610043600523154e-09,1.141503627469400151e-01,2.657674159218148221e-11
1.174897554939530325e-01,2.037962281692520809e-09,1.109792976540516785e-01,2.510036783293682783e-11
1.202264434617413141e-01,2.036315850979819606e-09,1.078777296871553104e-01,2.369783863796208331e-11
1.230268770812381063e-01,2.034670750386971424e-09,1.048449273430684808e-01,2.236603437397898313e-11
1.258925411794167559e-01,2.033026978839398752e-09,1.018801339339654305e-01,2.110192894511663316e-11
1.288249551693133599e-01,2.031384535263391376e-09,9.898256899003096687e-02,1.990258944868374320e-11
1.318256738556407293e-01,2.029743418586105967e-09,9.615142966555657866e-02,1.876517565609352184e-11
1.348962882591653312e-01,2.028103627735566496e-09,9.338589214470756350e-02,1.768693932886689384e-11
1.380384264602885214e-01,2.026465161640662991e-09,9.068511304339267609e-02,1.666522337982803218e-11
1.412537544622753938e-01,2.024828019231151126e-09,8.804823080388649026e-02,1.569746088972761491e-11
1.445439770745927943e-01,2.023192199437650565e-09,8.547436707904759734e-02,1.478117398957264723e-11
1.479108388168207111e-01,2.021557701191644959e-09,8.296262810318348613e-02,1.391397261892961899e-11
1.513561248436208762e-01,2.019924523425481127e-09,8.051210604679703842e-02,1.309355317039071567e-11
1.548816618912481069e-01,2.018292665072369461e-09,7.812188035264705510e-02,1.231769703027045419e-11
1.584893192461114264e-01,2.016662125066381035e-09,7.579101905073068468e-02,1.158426902542505786e-11
1.621810097358929725e-01,2.015032902342448433e-09,7.351858004998319818e-02,1.089121578587600546e-11
1.659586907437561321e-01,2.013404995836364918e-09,7.130361240465736550e-02,1.023656403266632896e-11
1.698243652461744191e-01,2.011778404484782783e-09,6.914515755352233783e-02,9.618418800098670206e-12
1.737800828749376247e-01,2.010153127225214174e-09,6.704225053018032787e-02,9.034961601192442063e-12
1.778279410038922925e-01,2.008529162996029435e-09,6.499392114296689837e-02,8.484448544866675681e-12
1.819700858609984429e-01,2.006906510736456285e-09,6.299919512305068858e-02,7.965208413001595010e-12
1.862087136662867459e-01,2.005285169386579402e-09,6.105709523950554607e-02,7.475640705165967736e-12
1.905460717963248229e-01,2.003665137887340422e-09,5.916664238026956429e-02,7.014213658416554195e-12
1.949844599758045471e-01,2.002046415180536287e-09,5.732685659805202005e-02,6.579462249188720403e-12
1.995262314968880846e-01,2.000429000208817589e-09,5.553675812038180032e-02,6.169986183902232317e-12
2.041737944669529681e-01,1.998812891915691050e-09,5.379536832312784012e-02,5.784447884510152493e-12
2.089296130854040867e-01,1.997198089245515805e-09,5.210171066694388453e-02,5.421570474819807268e-12
2.137962089502232488e-01,1.995584591143504223e-09,5.045481159621696687e-02,5.080135773020098962e-12
2.187761623949551759e-01,1.993972396555720258e-09,4.885370140021184915e-02,4.758982295456430684e-12
2.238721138568340041e-01,1.992361504429080270e-09,4.729741503621882198e-02,4.457003276308946640e-12
2.290867652767772378e-01,1.990751913711350137e-09,4.578499291461707310e-02,4.173144707450526056e-12
2.344228815319922832e-01,1.989143623351146905e-09,4.431548164586694705e-02,3.906403402390990541e-12
2.398832919019489862e-01,1.987536632297936719e-09,4.288793474954358254e-02,3.655825087854780688e-12
2.454708915685031023e-01,1.985930939502034414e-09,4.150141332561162189e-02,3.420502526190210372e-12
