k, T, P_m
3.715352290971724036e-02,3.462651632179837291e-01,7.955656870446614630e+04
3.801893963205612431e-02,3.396436087354163802e-01,7.826261153912314330e+04
3.890451449942804868e-02,3.330890723242949103e-01,7.696215370208545937e+04
3.981071705534973415e-02,3.266019225506526791e-01,7.565591990515943326e+04
4.073802778041125949e-02,3.201825639470113338e-01,7.434466323212359566e+04
4.168693834703354750e-02,3.138314327903324874e-01,7.302916274492646335e+04
4.265795188015925749e-02,3.075489925228622190e-01,7.171022081989486469e+04
4.365158322401661156e-02,3.013357289494613123e-01,7.038866028011767776e+04
4.466835921509629964e-02,2.951921453231429737e-01,6.906532138219660555e+04
4.570881896148751983e-02,2.891187574111289127e-01,6.774105870819654956e+04
4.677351412871981473e-02,2.831160886167325974e-01,6.641673800692228542e+04
4.786300923226385201e-02,2.771846652175777304e-01,6.509323302258461626e+04
4.897788193684461666e-02,2.713250117679364415e-01,6.377142234348085185e+04
5.011872336272724798e-02,2.655376467020693632e-01,6.245218629846216209e+04
5.128613839913648276e-02,2.598230781662381195e-01,6.113640392466147023e+04
5.248074602497728586e-02,2.541818000992805970e-01,5.982495002614789701e+04
5.370317963702526953e-02,2.486142885751740639e-01,5.851869233982960577e+04
5.495408738576248314e-02,2.431209984156336712e-01,5.721848882197921921e+04
5.623413251903491145e-02,2.377023600764038569e-01,5.592518506618003448e+04
5.754399373371572174e-02,2.323587768073097637e-01,5.463961186122672370e+04
5.888436553555889685e-02,2.270906220832707156e-01,5.336258289553844224e+04
6.025595860743580834e-02,2.218982373011823273e-01,5.209489261291076400e+04
6.165950018614822087e-02,2.167819297358013764e-01,5.083731422291887429e+04
6.309573444801935826e-02,2.117419707463849277e-01,4.959059786795905529e+04
6.456542290346556356e-02,2.067785942248301645e-01,4.835546894775708643e+04
6.606934480075957183e-02,2.018919952753092384e-01,4.713262660115490871e+04
6.760829753919818386e-02,1.970823291149066403e-01,4.592274234409908240e+04
6.918309709189363055e-02,1.923497101844479640e-01,4.472645886197319487e+04
7.079457843841380216e-02,1.876942114585575527e-01,4.354438895373568812e+04
7.244359600749898653e-02,1.831158639439537106e-01,4.237711462472661515e+04
7.413102413009177438e-02,1.786146563550526645e-01,4.122518632448458084e+04
7.585775750291835762e-02,1.741905349561044813e-01,4.008912232546169253e+04
7.762471166286918911e-02,1.698434035592802649e-01,3.896940823812939198e+04
7.943282347242813790e-02,1.655731236683905538e-01,3.786649665762873337e+04
8.128305161640994592e-02,1.613795147581872924e-01,3.678080693682646961e+04
8.317637711026708291e-02,1.572623546795201277e-01,3.571272508039420791e+04
8.511380382023767122e-02,1.532213801809329257e-01,3.466260375432043656e+04
8.709635899560805306e-02,1.492562875376294840e-01,3.363076240510072239e+04
8.912509381337459236e-02,1.453667332790697098e-01,3.261748748271799923e+04
9.120108393559096804e-02,1.415523350068065012e-01,3.162303276142627510e+04
9.332543007969915094e-02,1.378126722945071103e-01,3.064761975228283700e+04
9.549925860214358853e-02,1.341472876624479338e-01,2.969143820133491681e+04
9.772372209558111145e-02,1.305556876190940296e-01,2.875464666735275387e+04
1.000000000000000056e-01,1.270373437627111413e-01,2.783737317301607982e+04
1.023292992280754737e-01,1.235916939362647765e-01,2.693971592349429193e+04
1.047128548050899610e-01,1.202181434291832163e-01,2.606174408642353228e+04
1.071519305237607078e-01,1.169160662198528849e-01,2.520349862735933857e+04
1.096478196143185063e-01,1.136848062530193965e-01,2.436499319488654874e+04
1.122018454301964147e-01,1.105236787465432025e-01,2.354621504968269437e+04
1.148153621496882937e-01,1.074319715222477878e-01,2.274712603196754935e+04
1.174897554939530325e-01,1.044089463558570546e-01,2.196766356191903469e+04
1.202264434617413141e-01,1.014538403412915263e-01,2.120774166780139058e+04
1.230268770812381063e-01,9.856586726483819449e-02,2.046725203672607313e+04
1.258925411794167559e-01,9.574421898496311700e-02,1.974606508315519386e+04
1.288249551693133599e-01,9.298806681377275174e-02,1.904403103045444368e+04
1.318256738556407293e-01,9.029656289636119049e-02,1.836098100100868032e+04
1.348962882591653312e-01,8.766884158451430931e-02,1.769672811062918117e+04
1.380384264602885214e-01,8.510402080145204606e-02,1.705106856319928920e+04
1.412537544622753938e-01,8.260120339451394733e-02,1.642378274173309183e+04
1.445439770745927943e-01,8.015947847289216222e-02,1.581463629224834767e+04
1.479108388168207111e-01,7.777792272772585114e-02,1.522338119708791965e+04
1.513561248436208762e-01,7.545560173205956289e-02,1.464975683455521175e+04
1.548816618912481069e-01,7.319157121836633584e-02,1.409349102196363128e+04
1.584893192461114264e-01,7.098487833151323478e-02,1.355430103943010363e+04
1.621810097358929725e-01,6.883456285523448237e-02,1.303189463197501027e+04
1.659586907437561321e-01,6.673965841034290580e-02,1.252597098771600577e+04
1.698243652461744191e-01,6.469919362308747257e-02,1.203622169016888620e+04
1.737800828749376247e-01,6.271219326221938450e-02,1.156233164288572698e+04
1.778279410038922925e-01,6.077767934349444234e-02,1.110397996487572709e+04
1.819700858609984429e-01,5.889467220048537344e-02,1.066084085546075221e+04
1.862087136662867459e-01,5.706219152072977696e-02,1.023258442741902218e+04
1.905460717963248229e-01,5.527925734637703648e-02,9.818877507463947040e+03
1.949844599758045471e-01,5.354489103863674382e-02,9.419384403290834598e+03
1.995262314968880846e-01,5.185811620545890260e-02,9.033767636602064158e+03
2.041737944669529681e-01,5.021795959200499315e-02,8.661688641690603617e+03
2.089296130854040867e-01,4.862345193358460355e-02,8.302808429321592484e+03
2.137962089502232488e-01,4.707362877085128489e-02,7.956788215803469029e+03
2.187761623949551759e-01,4.556753122715590659e-02,7.623290017281634391e+03
2.238721138568340041e-01,4.410420674806267427e-02,7.301977209420550935e+03
2.290867652767772378e-01,4.268270980312911106e-02,6.992515052763132189e+03
2.344228815319922832e-01,4.130210255014377108e-02,6.694571184170055858e+03
2.398832919019489862e-01,3.996145546210460447e-02,6.407816074846282390e+03
2.454708915685031023e-01,3.865984791729958070e-02,6.131923455556729095e+03
2.511886431509579576e-01,3.739636875293128604e-02,5.866570709719760089e+03
2.570395782768864490e-01,3.617011678279447029e-02,5.611439235143433507e+03
2.630267991895381408e-01,3.498020127958533648e-02,5.366214775238834591e+03
2.691534803926916575e-01,3.382574242247880086e-02,5.130587720603924936e+03
2.754228703338166273e-01,3.270587171066840354e-02,4.904253381923988854e+03
2.818382931264454827e-01,3.161973234361217105e-02,4.686912235178187984e+03
2.884031503126605611e-01,3.056647956877545785e-02,4.478270140178814472e+03
2.951209226666386964e-01,2.954528099770107816e-02,4.278038533498774996e+03
3.019951720402015982e-01,2.855531689127601899e-02,4.085934596866176889e+03
3.090295432513592289e-01,2.759578041509273133e-02,3.901681402120313578e+03
3.162277660168379412e-01,2.666587786583432193e-02,3.725008033834654725e+03
3.235936569296284371e-01,2.576482886963317800e-02,3.555649690716350506e+03
3.311311214825911065e-01,2.489186655337448373e-02,3.393347766891924493e+03
3.388441561392027679e-01,2.404623768992920907e-02,3.237849914183035708e+03
3.467368504525316641e-01,2.322720281831555655e-02,3.088910086467177280e+03
3.548133892335756934e-01,2.243403633979296902e-02,2.946288567203805997e+03
3.630780547701014105e-01,2.166602659090074642e-02,2.809751981189770959e+03
3.715352290971727922e-01,2.092247589445181064e-02,2.679073291586817959e+03
3.801893963205612570e-01,2.020270058949353784e-02,2.554031783240931418e+03
3.890451449942805007e-01,1.950603104124050760e-02,2.434413033286821701e+03
3.981071705534973137e-01,1.883181163197947608e-02,2.320008870003104676e+03
4.073802778041126227e-01,1.817940073393551487e-02,2.210617320853206365e+03
4.168693834703355305e-01,1.754817066507705775e-02,2.106042550615444725e+03
4.265795188015925610e-01,1.693750762882422975e-02,2.006094790472815475e+03
