R_over_R0,f_R,f_RR,m_s2_over_R0
163.3392351328554,0.9959456872986236,1.0900000000000004e-06,304516.1001627916
169.90643258529968,0.9957759467207744,1.0900000000000004e-06,304462.0026633811
176.73842657668874,0.9956015589366328,1.0900000000000004e-06,304406.3957344538
183.84589393658624,0.9954224627780544,1.0900000000000004e-06,304349.25711121195
191.23994199531523,0.9952385971984805,1.0900000000000004e-06,304290.5644225399
198.9321259418727,0.9950499012757932,1.0900000000000004e-06,304230.29518609063
206.93446688209494,0.9948563142151777,1.0900000000000004e-06,304168.4268031425
215.25947062478429,0.9946577753520127,1.0900000000000004e-06,304104.9365532206
223.9201472252931,0.9944542241547818,1.0900000000000004e-06,304039.8015884728
232.93003131715946,0.9942456002280093,1.0900000000000004e-06,303972.99892779003
242.30320326352563,0.9940318433152208,1.0900000000000004e-06,303904.5054506615
252.05431116139584,0.9938128933019292,1.0900000000000004e-06,303834.29789075325
262.1985937331232,0.9935886902186498,1.0900000000000004e-06,303762.35282919894
272.75190414090383,0.9933591742439409,1.0900000000000004e-06,303688.6466875924
283.730734761483,0.9931242857074754,1.0900000000000004e-06,303613.1557206682
295.15224295980624,0.9928839650931395,1.0900000000000004e-06,303535.8560086584
307.03427790187465,0.992638153042164,1.0900000000000004e-06,303456.72344931215
319.3954084487244,0.9923867903562837,1.0900000000000004e-06,303375.73374956404
332.254952175102,0.9921298180009298,1.0900000000000004e-06,303292.86241683754
345.6330055582081,0.9918671771084514,1.0900000000000004e-06,303208.08474996715
359.55047538365966,0.9915988089813711,1.0900000000000004e-06,303121.3758297256
374.029111417807,0.9913246550956705,1.0900000000000004e-06,303032.71050893725
389.0915403972694,0.9910446571041107,1.0900000000000004e-06,302942.0634021643
404.7613013892217,0.9907587568395808,1.0900000000000004e-06,302849.4088749438
421.06288257719234,0.9904668963184826,1.0900000000000004e-06,302754.7210325606
438.0217595301956,0.9901690177441461,1.0900000000000004e-06,302657.9737083358
455.6644350148876,0.9898650635102783,1.0900000000000004e-06,302559.1404514103
474.0184804129718,0.9895549762044431,1.0900000000000004e-06,302458.1945140039
493.11257880858494,0.989238698611576,1.0900000000000004e-06,302355.1088381267
512.9765698129955,0.9889161737175283,1.0900000000000004e-06,302249.8560417223
533.6414961966558,0.9885873447126456,1.0900000000000004e-06,302142.40840421745
555.1396524015054,0.9882521549953781,1.0900000000000004e-06,302032.7378514557
577.504635009301,0.9879105481759212,1.0900000000000004e-06,301920.815939988
600.7713952448667,0.9875624680798896,1.0900000000000004e-06,301806.61384069495
624.9762935962968,0.9872078587520223,1.0900000000000004e-06,301690.1023217132
650.1571566377859,0.9868466644599142,1.0900000000000004e-06,301571.2517306357
676.3533361424934,0.9864788296977938,1.0900000000000004e-06,301450.03197596275
703.6057705806802,0.9861042991903062,1.0900000000000004e-06,301326.41250775935
731.9570490958896,0.9857230178963489,1.0900000000000004e-06,301200.36229750275
761.4514780614026,0.9853349310129269,1.0900000000000004e-06,301071.84981707635
792.1351503201895,0.9849399839790385,1.0900000000000004e-06,300940.8430168774
824.0560172167059,0.98453812247959,1.0900000000000004e-06,300807.3093030041
857.263963532565,0.9841292924493447,1.0900000000000004e-06,300671.2155134844
891.8108854449157,0.9837134400768839,1.0900000000000004e-06,300532.5278935011
927.7507716263949,0.9832905118086185,1.0900000000000004e-06,300391.21206958574
965.1397876164792,0.9828604543528089,1.0900000000000004e-06,300247.23302272375
1004.0363635940669,0.9824232146836214,1.0900000000000004e-06,300100.5550603375
1044.501285689301,0.9819787400452067,1.0900000000000004e-06,299951.14178709633
1086.5977909770659,0.9815269779558065,1.0900000000000004e-06,299798.956074508
1130.3916663006764,0.9810678762118841,1.0900000000000004e-06,299643.9600292404
1175.9513510801423,0.9806013828922808,1.0900000000000004e-06,299486.1149601233
1223.348044265881,0.9801274463623945,1.0900000000000004e-06,299325.381343775
1272.6558156045844,0.9796460152783839,1.0900000000000004e-06,299161.7187887996
1323.951721391506,0.9791570385913964,1.0900000000000004e-06,298995.0859984952
1377.315924890323,0.9786604655518126,1.0900000000000004e-06,298825.44073201285
1432.8318216071632,0.9781562457135253,1.0900000000000004e-06,298652.73976390617
1490.5861696173831,0.9776443289382246,1.0900000000000004e-06,298476.93884200044
1550.6692251459226,0.9771246653997148,1.0900000000000004e-06,298297.9926435185
1613.1748836148035,0.976597205588247,1.0900000000000004e-06,298115.8547293904
1678.200826377642,0.9760619003148726,1.0900000000000004e-06,297930.477496673
1745.8486733705308,0.9755187007158148,1.0900000000000004e-06,297741.8121290033
1816.2241419178533,0.9749675582568594,1.0900000000000004e-06,297549.80854500574
1889.4372119412224,0.9744084247377631,1.0900000000000004e-06,297354.41534457094
1965.6022978296496,0.9738412522966783,1.0900000000000004e-06,297155.57975291857
2044.8384272395915,0.9732659934145953,1.0900000000000004e-06,296953.24756235594
2127.269427104271,0.9726826009197996,1.0900000000000004e-06,296747.3630716378
2213.024117142913,0.9720910279923451,1.0900000000000004e-06,296537.86902283155
2302.2365111723293,0.971491228168541,1.0900000000000004e-06,296324.706535585
2395.046026535412,0.9708831553454532,1.0900000000000004e-06,296107.815038694
2491.5977019742477,0.970266763785416,1.0900000000000004e-06,295887.13219885743
2592.0424242860854,0.9696420081205683,1.0900000000000004e-06,295662.5938465126
2696.537164121695,0.9690088433573788,1.0900000000000004e-06,295434.1338986195
2805.2452212872945,0.968367224881206,1.0900000000000004e-06,295201.6842782882
2918.336479939434,0.967717108460855,1.0900000000000004e-06,294965.17483110726
3035.9876740685936,0.9670584502531482,1.0900000000000004e-06,294724.53323804686
3158.3826636872286,0.9663912068075045,1.0900000000000004e-06,294479.6849247967
3285.7127221537107,0.9657153350705274,1.0900000000000004e-06,294230.55296739435
3418.1768350811667,0.9650307923906001,1.0900000000000004e-06,293977.0579939943
3555.9820112983866,0.9643375365224881,1.0900000000000004e-06,293719.1180826216
3699.343606348646,0.9636355256319475,1.0900000000000004e-06,293456.6486547484
3848.485659031966,0.9629247183003401,1.0900000000000004e-06,293189.56236452446
4003.641241516826,0.9622050735292511,1.0900000000000004e-06,292917.76898348547
4165.052823568255,0.9614765507451137,1.0900000000000004e-06,292641.1752805578
4332.972651461675,0.9607391098038345,1.0900000000000004e-06,292359.6848971685
4507.6631421744505,0.959992710995423,1.0900000000000004e-06,292073.1982172638
4689.397293471208,0.9592373150486231,1.0900000000000004e-06,291781.6122320303
4878.459110523745,0.9584728831355441,1.0900000000000004e-06,291484.8203991049
5075.144049731995,0.957699376876295,1.0900000000000004e-06,291182.71249605104
5279.759480440955,0.9569167583436122,1.0900000000000004e-06,290875.1744678689
5492.6251652704705,0.9561249900675003,1.0900000000000004e-06,290562.08826830436
5714.073759817474,0.9553240350398484,1.0900000000000004e-06,290243.3316946933
5944.451332500566,0.9545138567190662,1.0900000000000004e-06,289918.77821609797
6184.117905367679,0.9536944190347032,1.0900000000000004e-06,289588.2967944502
6433.448016708033,0.9528656863920686,1.0900000000000004e-06,289251.7516984271
