beta,gamma_min,gamma_max
20443831.36905824,0.0,333333.0
21268147.883138362,0.0,333332.9999999996
22125701.6963505,0.0,333332.99999999953
23017832.97116227,0.0,333332.9999999993
23945935.906785708,0.0,333332.9999999995
24911460.917995088,0.0,333332.99999999953
25915916.901796717,0.0,333333.0
26960873.59549354,0.0,333332.99999999994
28047964.029829014,0.0,333332.9999999996
29178887.08104455,0.0,333333.0
30355410.12583839,0.0,333332.99999999814
31579371.803375375,0.0,333333.0
32852684.888663553,0.0,333332.99999999837
34177339.28178865,0.0,333333.0
35555405.11767732,0.0,333332.9999999998
36989036.001249366,0.0,333333.0
38480472.373014696,0.0,333333.0
40032045.01037464,0.0,333332.99999999907
41646178.67009933,0.0,333332.9999999986
43325395.87767362,0.0,333333.0
45072320.8694333,0.0,333332.99999999854
46889683.69365243,0.0,333332.9999999991
48780324.4769907,0.0,333333.0
50747197.86296839,0.0,333333.0
52793377.629405476,0.0,333333.0
54922061.492040195,0.0,333333.0
57136576.101835005,0.0,333332.9999999997
59440382.243778884,0.0,333333.0
61837080.24531072,0.0,333333.0
64330415.60281612,0.0,333332.9999999995
66924284.83499021,0.0,333332.99999999785
69622741.57221429,0.0,333332.99999999924
72430002.89146231,0.0,333333.0
75350455.90663768,0.0,333332.99999999854
78388664.62463884,0.0,333333.0
81549377.0778689,0.0,333332.99999999715
84837532.7443356,0.0,333332.9999999999
88258270.26693664,0.0,333332.9999999982
91816935.48399584,0.0,333332.99999999907
95519089.7835978,0.0,333333.0
99370518.79477823,0.0,333333.0
103377241.42915301,0.0,333333.0
107545519.28711368,0.0,333332.99999999866
111881866.44329172,0.0,333332.99999999825
116393059.6265823,0.0,333332.9999999985
121086148.81063747,0.0,333333.0
125968468.23137887,0.0,333332.9999999973
131047647.84874803,0.0,333333.0
136331625.27060622,0.0,333333.0
141828658.1574192,0.0,333333.0
147547337.12711024,0.0,333333.0
153496599.18025166,0.0,333333.0
159685741.6665732,0.0,333333.0
166124436.81461483,0.0,333332.9999999937
172822746.84723058,0.0,333332.99999999773
179791139.70656443,0.0,333332.99999999785
187040505.41307396,0.0,333333.0
194582173.08416775,0.0,333332.9999999962
202427928.6390498,0.0,333332.9999999991
210590033.2174442,0.0,333332.9999999956
219081242.3409801,0.0,333332.9999999956
227914825.84718442,0.0,333332.9999999918
237104588.62723365,0.0,333333.0
246664892.19987363,0.0,333332.9999999915
256610677.15522182,0.0,333332.9999999976
266957486.5035272,0.0,333333.0
277721489.9653772,0.0,333332.9999999946
288919509.24130905,0.0,333332.99999999336
300569044.30032057,0.0,333333.0
312688300.728359,0.0,333333.0
325296218.1795313,0.0,333333.0
338412499.9744944,0.0,333333.0
352057643.89228666,0.0,333333.0
366252974.2037135,0.0,333333.0
381020674.99635655,0.0,333333.0
396383824.84328103,0.0,333333.0
412366432.8696186,0.0,333333.0
428993476.2733962,0.0,333332.99999999296
446290939.3592412,0.0,333333.0
464285854.1459672,0.0,333332.99999999296
483006342.61149937,0.0,333333.0
502481660.64115906,0.0,333333.0
522742243.747991,0.0,333332.9999999987
543819754.6365772,0.0,333333.0
565747132.6846783,0.0,333332.99999999494
588558645.4200225,0.0,333333.0
612289942.0726949,0.0,333332.9999999979
636978109.2868115,0.0,333332.9999999866
662661729.0785496,0.0,333332.99999998993
689380939.1311039,0.0,333333.0
717177495.5207976,0.0,333332.9999999909
746094837.9723793,0.0,333332.99999999016
776178157.7454739,0.0,333332.9999999989
807474468.2582953,0.0,333333.0
840032678.5589715,0.0,333332.99999999785
873903669.759318,0.0,333332.99999997776
909140374.5504935,0.0,333333.0
945797859.9248152,0.0,333333.0
983933413.2329977,0.0,333332.9999999939
1023606631.7113166,0.0,333333.0
1064879515.6185938,0.0,333332.99999998166
1107816565.1285696,0.0,333333.0
1152484881.129066,0.0,333333.0
1198954270.0854874,0.0,333333.0
1247297353.1325214,0.0,333333.0
1297589679.5645342,0.0,333333.0
1349909844.902009,0.0,333333.0
1404339613.718554,0.0,333332.9999999726
1460964047.4204206,0.0,333332.999999966
1519871637.1782234,0.0,333332.9999999962
1581154442.2186055,0.0,333333.0
1644908233.6919744,0.0,333333.0
1711232644.3411155,0.0,333333.0
1780231324.2046266,0.0,333332.9999999552
1852012102.5984545,0.0,333332.9999999553
1926687156.628708,0.0,333333.0
2004373186.4990768,0.0,333333.0
2085191597.8868322,0.0,333333.0
2169268691.6724124,0.0,333332.9999999968
2256735861.3191104,0.0,333333.0
2347729798.211304,0.0,333333.0
2442392705.272147,0.0,333333.0
2540872519.194551,0.0,333332.9999999697
