R_over_R0,f_R,f_RR,m_s2_over_R0,hamiltonian_energy_proxy
17.580209510395207,0.9999694266306671,1.0900000000000004e-06,305795.1878294497,-152899.93124775935
18.270122964292568,0.999960993658315,1.0900000000000004e-06,305792.37896767084,-152899.1715024989
18.987860162054684,0.9999514952832023,1.0900000000000004e-06,305789.23502006894,-152898.32565502686
19.73454276737846,0.999940869669074,1.0900000000000004e-06,305785.73670258635,-152897.38878789154
20.511337678714845,0.9999290547877788,1.0900000000000004e-06,305781.8646574033,-152896.3559609124
21.31945885289686,0.9999159884340885,1.0900000000000004e-06,305777.5994568619,-152895.22221195017
22.160169202275142,0.9999016082397645,1.0900000000000004e-06,305772.9216071357,-152893.98255760447
23.034782568395862,0.9998858516869054,1.0900000000000004e-06,305767.8115516531,-152892.6319938399
23.94466577524764,0.9998686561206119,1.0900000000000004e-06,305762.24967428646,-152891.1654965435
24.89124076530562,0.9998499587610022,1.0900000000000004e-06,305756.2163023143,-152889.57802201528
25.87598682171794,0.9998296967146099,1.0900000000000004e-06,305749.69170916633,-152887.86450739412
26.900442880099067,0.9998078069851972,1.0900000000000004e-06,305742.6561169595,-152886.01987101987
27.96620993354757,0.9997842264840135,1.0900000000000004e-06,305735.08969883353,-152884.03901273475
29.07495353462509,0.9997588920395286,1.0900000000000004e-06,305726.9725810935,-152881.91681412476
30.228406398277794,0.9997317404066679,1.0900000000000004e-06,305718.2848451662,-152879.64813870232
31.4283711096447,0.9997027082755793,1.0900000000000004e-06,305709.00652937905,-152877.22783203295
32.67672294111059,0.9996717322799558,1.0900000000000004e-06,305699.11763056566,-152874.65072180534
33.975412782929745,0.9996387490049398,1.0900000000000004e-06,305688.59810550645,-152871.91161784757
35.32647019202524,0.9996036949946334,1.0900000000000004e-06,305677.4278722091,-152869.00531208984
36.7320065637259,0.9995665067592371,1.0900000000000004e-06,305665.58681103436,-152865.92657847455
38.19421843139667,0.9995271207818396,1.0900000000000004e-06,305653.0547656725,-152862.67017281486
39.71539089911964,0.9994854735248806,1.0900000000000004e-06,305639.8115439756,-152859.23083260268
41.297901212789675,0.999441501436305,1.0900000000000004e-06,305625.83691864915,-152855.603276766
42.944222475205954,0.9993951409554288,1.0900000000000004e-06,305611.1106278075,-152851.78220537663
44.65692751096496,0.9993463285185364,1.0900000000000004e-06,305595.61237539735,-152847.76229930896
46.43869288719496,0.9992950005642244,1.0900000000000004e-06,305579.3218314914,-152843.5382198492
48.292303096415395,0.9992410935385103,1.0900000000000004e-06,305562.2186324572,-152839.10460825634
50.220654908058265,0.9991845438997221,1.0900000000000004e-06,305544.28238100064,-152834.456085274
52.22676189545161,0.9991252881231826,1.0900000000000004e-06,305525.4926460906,-152829.58725059393
54.31375914535282,0.9990632627057043,1.0900000000000004e-06,305505.8289627632,-152824.49268227024
56.484908157313846,0.9989984041699098,1.0900000000000004e-06,305485.2708318098,-152819.1669360854
58.74360194072781,0.9989306490683844,1.0900000000000004e-06,305463.7977193482,-152813.6045448659
61.09337031726882,0.9988599339876825,1.0900000000000004e-06,305441.3890562802,-152807.80001774873
63.53788543719846,0.9987861955521925,1.0900000000000004e-06,305418.0242376348,-152801.7478393975
66.080967518086,0.998709370427874,1.0900000000000004e-06,305393.68262179784,-152795.44246916732
68.72659081492276,0.9986293953258776,1.0900000000000004e-06,305368.3435296297,-152788.87834021836
71.47888983096077,0.9985462070060566,1.0900000000000004e-06,305341.98624346807,-152782.0498585764
74.3421657789814,0.9984597422803811,1.0900000000000004e-06,305314.59000601893,-152774.95140214023
77.3208933030915,0.9983699380162623,1.0900000000000004e-06,305286.134019132,-152767.57731963423
80.41972747155192,0.9982767311397955,1.0900000000000004e-06,305256.59744246217,-152759.92192950528
83.64351105156594,0.9981800586389311,1.0900000000000004e-06,305225.95939201367,-152751.9795187625
86.9972820773968,0.9980798575665786,1.0900000000000004e-06,305194.19893856696,-152743.74434175863
90.48628172364145,0.997976065043653,1.0900000000000004e-06,305161.2951059859,-152735.21061891125
94.11596249596406,0.9978686182620696,1.0900000000000004e-06,305127.22686940327,-152726.37253536275
97.89199675209089,0.9977574544876917,1.0900000000000004e-06,305091.97315328184,-152717.22423957623
101.82028556638008,0.9976425110632395,1.0900000000000004e-06,305055.5128293492,-152707.75984186694
105.9069679518217,0.9975237254111654,1.0900000000000004e-06,305017.82471440296,-152697.9734128659
110.15843045387517,0.9974010350364981,1.0900000000000004e-06,304978.8875679826,-152687.85898191435
