# z   H_over_H0
2.691535e+01 3.589950e-02
2.754229e+01 3.511096e-02
2.818383e+01 3.433912e-02
2.884032e+01 3.358366e-02
2.951209e+01 3.284426e-02
3.019952e+01 3.212059e-02
3.090295e+01 3.141236e-02
3.162278e+01 3.071925e-02
3.235937e+01 3.004095e-02
3.311311e+01 2.937718e-02
3.388442e+01 2.872765e-02
3.467369e+01 2.809206e-02
3.548134e+01 2.747013e-02
3.630781e+01 2.686160e-02
3.715352e+01 2.626618e-02
3.801894e+01 2.568361e-02
3.890451e+01 2.511363e-02
3.981072e+01 2.455598e-02
4.073803e+01 2.401041e-02
4.168694e+01 2.347667e-02
4.265795e+01 2.295452e-02
4.365158e+01 2.244371e-02
4.466836e+01 2.194402e-02
4.570882e+01 2.145521e-02
4.677351e+01 2.097705e-02
4.786301e+01 2.050933e-02
4.897788e+01 2.005182e-02
5.011872e+01 1.960431e-02
5.128614e+01 1.916660e-02
5.248075e+01 1.873847e-02
5.370318e+01 1.831973e-02
5.495409e+01 1.791017e-02
5.623413e+01 1.750961e-02
5.754399e+01 1.711785e-02
5.888437e+01 1.673471e-02
6.025596e+01 1.636000e-02
6.165950e+01 1.599354e-02
6.309573e+01 1.563517e-02
6.456542e+01 1.528470e-02
6.606934e+01 1.494196e-02
6.760830e+01 1.460680e-02
6.918310e+01 1.427904e-02
7.079458e+01 1.395854e-02
7.244360e+01 1.364513e-02
7.413102e+01 1.333867e-02
7.585776e+01 1.303899e-02
7.762471e+01 1.274596e-02
7.943282e+01 1.245944e-02
8.128305e+01 1.217927e-02
8.317638e+01 1.190533e-02
8.511380e+01 1.163748e-02
8.709636e+01 1.137559e-02
8.912509e+01 1.111952e-02
9.120108e+01 1.086915e-02
9.332543e+01 1.062436e-02
9.549926e+01 1.038503e-02
9.772372e+01 1.015103e-02
1.000000e+02 9.922255e-03
1.023293e+02 9.698582e-03
1.047129e+02 9.479904e-03
1.071519e+02 9.266110e-03
1.096478e+02 9.057094e-03
1.122018e+02 8.852751e-03
1.148154e+02 8.652978e-03
1.174898e+02 8.457674e-03
1.202264e+02 8.266742e-03
1.230269e+02 8.080085e-03
1.258925e+02 7.897609e-03
1.288250e+02 7.719223e-03
1.318257e+02 7.544835e-03
1.348963e+02 7.374357e-03
1.380384e+02 7.207703e-03
1.412538e+02 7.044789e-03
1.445440e+02 6.885533e-03
1.479108e+02 6.729851e-03
1.513561e+02 6.577667e-03
1.548817e+02 6.428901e-03
1.584893e+02 6.283479e-03
1.621810e+02 6.141326e-03
1.659587e+02 6.002370e-03
1.698244e+02 5.866539e-03
1.737801e+02 5.733764e-03
1.778279e+02 5.603978e-03
1.819701e+02 5.477113e-03
1.862087e+02 5.353105e-03
1.905461e+02 5.231889e-03
1.949845e+02 5.113405e-03
1.995262e+02 4.997590e-03
2.041738e+02 4.884385e-03
2.089296e+02 4.773733e-03
2.137962e+02 4.665575e-03
