alpha,k,P_R
-0.45,14.174741629268048,1.0647361125202882e-09
-0.45,16.297508346206435,1.0601858028962244e-09
-0.45,18.73817422860383,1.05565493970347e-09
-0.45,21.544346900318867,1.0511434398347814e-09
-0.45,24.77076355991714,1.0466512205380863e-09
-0.45,28.48035868435805,1.0421781994149656e-09
-0.45,32.745491628777316,1.0377242944191424e-09
-0.45,37.649358067924716,1.0332894238549768e-09
-0.45,43.287612810830616,1.0288735063759676e-09
-0.45,49.770235643321136,1.0244764609832598e-09
-0.45,57.223676593502205,1.0200982070241593e-09
-0.45,65.79332246575683,1.0157386641906538e-09
-0.45,75.64633275546291,1.011397752517939e-09
-0.45,86.97490026177834,1.0070753923829516e-09
-0.45,100.0,1.0027715045029106e-09
-0.425,0.0001,1.605562216584994e-09
-0.425,0.00011497569953977356,1.5986459469325866e-09
-0.425,0.00013219411484660288,1.5917594704488342e-09
-0.425,0.0001519911082952933,1.584902658793903e-09
-0.425,0.0001747528400007683,1.5780753841808075e-09
-0.425,0.00020092330025650479,1.5712775193730297e-09
-0.425,0.00023101297000831605,1.5645089376821473e-09
-0.425,0.00026560877829466864,1.5577695129654733e-09
-0.425,0.0003053855508833416,1.5510591196237038e-09
-0.425,0.0003511191734215131,1.5443776325985792e-09
-0.425,0.0004037017258596554,1.5377249273705516e-09
-0.425,0.0004641588833612782,1.531100879956466e-09
-0.425,0.0005336699231206312,1.5245053669072482e-09
-0.425,0.0006135907273413176,1.5179382653056055e-09
-0.425,0.0007054802310718645,1.5113994527637339e-09
-0.425,0.0008111308307896872,1.5048888074210395e-09
-0.425,0.0009326033468832199,1.4984062079418666e-09
-0.425,0.0010722672220103231,1.4919515335132358e-09
-0.425,0.0012328467394420659,1.4855246638425928e-09
-0.425,0.0014174741629268048,1.4791254791555677e-09
-0.425,0.0016297508346206436,1.4727538601937403e-09
-0.425,0.001873817422860383,1.466409688212421e-09
-0.425,0.0021544346900318843,1.4600928449784342e-09
-0.425,0.0024770763559917113,1.4538032127679175e-09
-0.425,0.002848035868435802,1.4475406743641266e-09
-0.425,0.0032745491628777285,1.441305113055251e-09
-0.425,0.0037649358067924675,1.4350964126322387e-09
-0.425,0.004328761281083062,1.4289144573866312e-09
-0.425,0.004977023564332114,1.4227591321084056e-09
-0.425,0.00572236765935022,1.4166303220838295e-09
-0.425,0.006579332246575682,1.4105279130933214e-09
-0.425,0.007564633275546291,1.404451791409323e-09
-0.425,0.008697490026177835,1.398401843794179e-09
-0.425,0.01,1.3923779574980282e-09
-0.425,0.011497569953977356,1.3863800202566998e-09
-0.425,0.013219411484660288,1.380407920289624e-09
-0.425,0.01519911082952933,1.3744615462977467e-09
-0.425,0.01747528400007685,1.368540787461456e-09
-0.425,0.02009233002565048,1.3626455334385172e-09
-0.425,0.023101297000831605,1.3567756743620159e-09
-0.425,0.026560877829466867,1.3509311008383103e-09
-0.425,0.030538555088334154,1.3451117039449935e-09
-0.425,0.03511191734215131,1.339317375228863e-09
-0.425,0.040370172585965536,1.3335480067038987e-09
-0.425,0.04641588833612782,1.3278034908492518e-09
-0.425,0.05336699231206313,1.3220837206072402e-09
-0.425,0.061359072734131756,1.3163885893813528e-09
-0.425,0.07054802310718646,1.310717991034265e-09
-0.425,0.08111308307896872,1.3050718198858581e-09
-0.425,0.093260334688322,1.2994499707112512e-09
-0.425,0.10722672220103231,1.2938523387388398e-09
-0.425,0.12328467394420659,1.2882788196483435e-09
-0.425,0.14174741629268048,1.282729309568862e-09
-0.425,0.16297508346206452,1.2772037050769385e-09
-0.425,0.1873817422860385,1.2717019031946332e-09
-0.425,0.21544346900318845,1.2662238013876029e-09
-0.425,0.24770763559917114,1.2607692975631916e-09
-0.425,0.2848035868435802,1.2553382900685271e-09
-0.425,0.32745491628777285,1.2499306776886264e-09
-0.425,0.37649358067924676,1.2445463596445095e-09
