a w(a)
3.7392662803e-05 -1.0310166771e+00
3.7651986469e-05 -1.0310167928e+00
3.7913108584e-05 -1.0310169092e+00
3.8176041619e-05 -1.0310170265e+00
3.8440798133e-05 -1.0310171446e+00
3.8707390773e-05 -1.0310172635e+00
3.8975832273e-05 -1.0310173832e+00
3.9246135455e-05 -1.0310175038e+00
3.9518313229e-05 -1.0310176252e+00
3.9792378596e-05 -1.0310177474e+00
4.0068344648e-05 -1.0310178705e+00
4.0346224565e-05 -1.0310179944e+00
4.0626031620e-05 -1.0310181192e+00
4.0907779179e-05 -1.0310182449e+00
4.1191480699e-05 -1.0310183714e+00
4.1477149731e-05 -1.0310184988e+00
4.1764799920e-05 -1.0310186271e+00
4.2054445006e-05 -1.0310187563e+00
4.2346098824e-05 -1.0310188864e+00
4.2639775304e-05 -1.0310190173e+00
4.2935488474e-05 -1.0310191492e+00
4.3233252459e-05 -1.0310192820e+00
4.3533081482e-05 -1.0310194158e+00
4.3834989863e-05 -1.0310195504e+00
4.4138992023e-05 -1.0310196860e+00
4.4445102484e-05 -1.0310198225e+00
4.4753335866e-05 -1.0310199600e+00
4.5063706892e-05 -1.0310200984e+00
4.5376230388e-05 -1.0310202378e+00
4.5690921280e-05 -1.0310203782e+00
4.6007794600e-05 -1.0310205195e+00
4.6326865484e-05 -1.0310206618e+00
4.6648149172e-05 -1.0310208051e+00
4.6971661010e-05 -1.0310209494e+00
4.7297416450e-05 -1.0310210946e+00
4.7625431053e-05 -1.0310212409e+00
4.7955720486e-05 -1.0310213883e+00
4.8288300525e-05 -1.0310215366e+00
4.8623187056e-05 -1.0310216859e+00
4.8960396075e-05 -1.0310218363e+00
4.9299943688e-05 -1.0310219878e+00
4.9641846114e-05 -1.0310221403e+00
4.9986119685e-05 -1.0310222938e+00
5.0332780844e-05 -1.0310224484e+00
5.0681846149e-05 -1.0310226041e+00
5.1033332274e-05 -1.0310227609e+00
5.1387256007e-05 -1.0310229187e+00
5.1743634255e-05 -1.0310230777e+00
5.2102484038e-05 -1.0310232377e+00
