z H(z)_km_s_Mpc chi_Mpc
4.5022511256e+00 4.5681391496e+02 7.9383128658e+03
4.5122561281e+00 4.5805198561e+02 7.9448699574e+03
4.5222611306e+00 4.5929122754e+02 7.9514093414e+03
4.5322661331e+00 4.6053163942e+02 7.9579310966e+03
4.5422711356e+00 4.6177321993e+02 7.9644353011e+03
4.5522761381e+00 4.6301596775e+02 7.9709220329e+03
4.5622811406e+00 4.6425988158e+02 7.9773913693e+03
4.5722861431e+00 4.6550496010e+02 7.9838433871e+03
4.5822911456e+00 4.6675120203e+02 7.9902781628e+03
4.5922961481e+00 4.6799860607e+02 7.9966957723e+03
4.6023011506e+00 4.6924717093e+02 8.0030962911e+03
4.6123061531e+00 4.7049689532e+02 8.0094797943e+03
