T,P_calc
5.6989298487808275,5.6989298487808275
5.831790226544397,5.831790226544397
5.9677480068814095,5.9677480068814095
6.106875400204504,6.106875400204504
6.24924630038321,6.24924630038321
6.394936323990734,6.394936323990734
6.544022850465726,6.544022850465726
6.696585063210337,6.696585063210337
6.8527039916464085,6.8527039916464085
7.01246255425213,7.01246255425213
7.175945602602012,7.175945602602012
7.343239966433583,7.343239966433583
7.514434499764717,7.514434499764717
7.689620128086133,7.689620128086133
7.868889896654076,7.868889896654076
8.052339019908866,8.052339019908866
8.240064932045563,8.240064932045563
8.432167338763575,8.432167338763575
8.62874827022274,8.62874827022274
8.829912135233958,8.829912135233958
9.035765776713205,9.035765776713205
9.24641852842835,9.24641852842835
9.46198227306891,9.46198227306891
9.682571501669624,9.682571501669624
9.908303374419349,9.908303374419349
10.139297782887638,10.139297782887638
10.375677413702004,10.375677413702004
10.6175678137097,10.6175678137097
10.865097456658642,10.865097456658642
11.11839781143288,11.11839781143288
11.377603411878836,11.377603411878836
11.64285192825945,11.64285192825945
11.914284240374114,11.914284240374114
12.192044512383305,12.192044512383305
12.476280269377582,12.476280269377582
12.767142475731692,12.767142475731692
13.064785615285324,13.064785615285324
13.369367773393167,13.369367773393167
13.681050720887793,13.681050720887793
13.999999999999998,13.999999999999998
