z,r_s_lcdm_Mpc,r_s_psitmg_Mpc,delta_r_s_Mpc
1025.5230125523012,151.64758767202315,141.8429289148577,9.804658757165441
1027.6150627615064,151.44622568777675,141.6543789142699,9.791846773506848
1029.7071129707113,151.24544477924516,141.4663737293073,9.779071049937869
1031.7991631799164,151.04524226931008,141.27891084628675,9.766331423023331
1033.8912133891213,150.84561549806415,141.09198776771026,9.753627730353884
1035.9832635983264,150.6465618226684,140.9056020121301,9.7409598105383
1038.0753138075313,150.44807861721014,140.71975111401537,9.728327503194777
1040.1673640167364,150.25016327256327,140.53443262362023,9.715730648943037
1042.2594142259413,150.0528131962494,140.34964410685322,9.70316908939617
1044.3514644351465,149.85602581230043,140.16538314514776,9.690642667152673
1046.4435146443516,149.6597985611229,139.98164733533443,9.678151225788469
1048.5355648535565,149.46412889936343,139.7984342895143,9.66569460984914
1050.6276150627614,149.26901429977522,139.61574163493302,9.653272664842206
1052.7196652719665,149.07445225108648,139.43356701385724,9.640885237229242
1054.8117154811716,148.88044025787028,139.25190808345172,9.628532174418552
1056.9037656903765,148.68697584041462,139.0707625156572,9.61621332475741
1058.9958158995817,148.49405653459505,138.89012799707038,9.603928537524666
1061.0878661087866,148.30167989174825,138.71000222882472,9.59167766292353
1063.1799163179917,148.10984347854594,138.53038292647204,9.579460552073897
1065.2719665271966,147.91854487687164,138.35126781986608,9.567277057005555
1067.3640167364017,147.72778168369706,138.17265465304658,9.555127030650482
1069.4560669456066,147.53755151096124,137.99454118412487,9.543010326836367
1071.5481171548117,147.3478519854493,137.81692518517033,9.530926800278962
1073.6401673640166,147.1586807486738,137.63980444209827,9.518876306575521
1075.7322175732218,146.97003545675662,137.4631767545588,9.506858702197832
1077.824267782427,146.78191378031164,137.28703993582644,9.494873844485198
1079.9163179916318,146.59431340432965,137.11139181269172,9.482921591637933
1082.0083682008367,146.40723202806325,136.9362302253528,9.471001802710447
1084.1004184100418,146.22066736491328,136.76155302730857,9.459114337604717
1086.192468619247,146.03461714231688,136.58735808525324,9.447259057063633
1088.2845188284518,145.84907910163625,136.41364327897162,9.43543582266463
1090.376569037657,145.66405099804783,136.24040650123467,9.423644496813154
1092.4686192468619,145.47953060043372,136.06764565769754,9.41188494273618
1094.560669456067,145.29551569127352,135.89535866679756,9.40015702447596
1096.652719665272,145.1120040665374,135.7235434596535,9.388460606883882
1098.744769874477,144.92899353557965,135.55219797996565,9.376795555613995
1100.836820083682,144.7464819210345,135.38132018391735,9.365161737117148
1102.928870292887,144.56446705871159,135.21090804007687,9.353559018634712
1105.020920502092,144.3829467974932,135.04095952930064,9.341987268192554
1107.112970711297,144.2019189992323,134.87147264463727,9.33044635459504
1109.2050209205022,144.0213815386517,134.7024453912324,9.318936147419294
1111.297071129707,143.84133230324403,134.53387578623477,9.307456517009257
1113.3891213389122,143.6617691931722,134.36576185870268,9.296007334469522
1115.4811715481171,143.48269012117237,134.19810164951218,9.284588471660186
1117.5732217573222,143.3040930124554,134.03089321126478,9.273199801190628
1119.6652719665271,143.1259758046119,133.86413460819765,9.261841196414252
1121.7573221757323,142.948336447516,133.69782391609345,9.250512531422544
1123.8493723849372,142.77117290323136,133.53195922219166,9.2392136810397
1125.9414225941423,142.59448314591742,133.36653862510033,9.22794452081709
1128.0334728033472,142.418265161737,133.20156023470904,9.216704927027962
1130.1255230125523,142.2425169487641,133.0370221721023,9.205494776661794
1132.2175732217572,142.06723651689364,132.87292256947455,9.19431394741909
