alpha,k,P_R
-7.000000e-02,3.274549e-03,2.349432e-09
-7.000000e-02,3.764936e-03,2.338866e-09
-7.000000e-02,4.328761e-03,2.328347e-09
-7.000000e-02,4.977024e-03,2.317876e-09
-7.000000e-02,5.722368e-03,2.307451e-09
-7.000000e-02,6.579332e-03,2.297074e-09
-7.000000e-02,7.564633e-03,2.286743e-09
-7.000000e-02,8.697490e-03,2.276459e-09
-7.000000e-02,1.000000e-02,2.266221e-09
-7.000000e-02,1.149757e-02,2.256029e-09
-7.000000e-02,1.321941e-02,2.245883e-09
-7.000000e-02,1.519911e-02,2.235782e-09
-7.000000e-02,1.747528e-02,2.225727e-09
-7.000000e-02,2.009233e-02,2.215717e-09
-7.000000e-02,2.310130e-02,2.205753e-09
-7.000000e-02,2.656088e-02,2.195833e-09
-7.000000e-02,3.053856e-02,2.185957e-09
-7.000000e-02,3.511192e-02,2.176126e-09
-7.000000e-02,4.037017e-02,2.166339e-09
-7.000000e-02,4.641589e-02,2.156597e-09
-7.000000e-02,5.336699e-02,2.146898e-09
-7.000000e-02,6.135907e-02,2.137242e-09
-7.000000e-02,7.054802e-02,2.127630e-09
-7.000000e-02,8.111308e-02,2.118062e-09
-7.000000e-02,9.326033e-02,2.108536e-09
-7.000000e-02,1.072267e-01,2.099053e-09
-7.000000e-02,1.232847e-01,2.089613e-09
-7.000000e-02,1.417474e-01,2.080215e-09
-7.000000e-02,1.629751e-01,2.070860e-09
-7.000000e-02,1.873817e-01,2.061547e-09
-7.000000e-02,2.154435e-01,2.052275e-09
-7.000000e-02,2.477076e-01,2.043045e-09
-7.000000e-02,2.848036e-01,2.033857e-09
-7.000000e-02,3.274549e-01,2.024710e-09
-7.000000e-02,3.764936e-01,2.015604e-09
-7.000000e-02,4.328761e-01,2.006539e-09
-7.000000e-02,4.977024e-01,1.997515e-09
-7.000000e-02,5.722368e-01,1.988532e-09
-7.000000e-02,6.579332e-01,1.979589e-09
-7.000000e-02,7.564633e-01,1.970686e-09
-7.000000e-02,8.697490e-01,1.961823e-09
-7.000000e-02,1.000000e+00,1.953000e-09
-7.000000e-02,1.149757e+00,1.944217e-09
-7.000000e-02,1.321941e+00,1.935473e-09
-7.000000e-02,1.519911e+00,1.926768e-09
-7.000000e-02,1.747528e+00,1.918103e-09
-7.000000e-02,2.009233e+00,1.909477e-09
-7.000000e-02,2.310130e+00,1.900889e-09
-7.000000e-02,2.656088e+00,1.892340e-09
-7.000000e-02,3.053856e+00,1.883830e-09
-7.000000e-02,3.511192e+00,1.875357e-09
-7.000000e-02,4.037017e+00,1.866923e-09
-7.000000e-02,4.641589e+00,1.858527e-09
-7.000000e-02,5.336699e+00,1.850169e-09
-7.000000e-02,6.135907e+00,1.841848e-09
-7.000000e-02,7.054802e+00,1.833564e-09
-7.000000e-02,8.111308e+00,1.825318e-09
-7.000000e-02,9.326033e+00,1.817109e-09
-7.000000e-02,1.072267e+01,1.808937e-09
-7.000000e-02,1.232847e+01,1.800802e-09
-7.000000e-02,1.417474e+01,1.792703e-09
-7.000000e-02,1.629751e+01,1.784640e-09
-7.000000e-02,1.873817e+01,1.776614e-09
-7.000000e-02,2.154435e+01,1.768624e-09
-7.000000e-02,2.477076e+01,1.760670e-09
-7.000000e-02,2.848036e+01,1.752752e-09
-7.000000e-02,3.274549e+01,1.744869e-09
-7.000000e-02,3.764936e+01,1.737022e-09
-7.000000e-02,4.328761e+01,1.729210e-09
-7.000000e-02,4.977024e+01,1.721433e-09
-7.000000e-02,5.722368e+01,1.713691e-09
-7.000000e-02,6.579332e+01,1.705984e-09
-7.000000e-02,7.564633e+01,1.698312e-09
-7.000000e-02,8.697490e+01,1.690674e-09
-7.000000e-02,1.000000e+02,1.683070e-09
-6.000000e-02,1.000000e-04,2.667762e-09
-6.000000e-02,1.149757e-04,2.655616e-09
-6.000000e-02,1.321941e-04,2.643526e-09
-6.000000e-02,1.519911e-04,2.631490e-09
-6.000000e-02,1.747528e-04,2.619509e-09
-6.000000e-02,2.009233e-04,2.607582e-09
-6.000000e-02,2.310130e-04,2.595710e-09
-6.000000e-02,2.656088e-04,2.583892e-09
-6.000000e-02,3.053856e-04,2.572128e-09
-6.000000e-02,3.511192e-04,2.560417e-09
-6.000000e-02,4.037017e-04,2.548760e-09
-6.000000e-02,4.641589e-04,2.537156e-09
-6.000000e-02,5.336699e-04,2.525604e-09
-6.000000e-02,6.135907e-04,2.514106e-09
-6.000000e-02,7.054802e-04,2.502659e-09
-6.000000e-02,8.111308e-04,2.491265e-09
-6.000000e-02,9.326033e-04,2.479922e-09
-6.000000e-02,1.072267e-03,2.468631e-09
-6.000000e-02,1.232847e-03,2.457392e-09
-6.000000e-02,1.417474e-03,2.446204e-09
-6.000000e-02,1.629751e-03,2.435066e-09
-6.000000e-02,1.873817e-03,2.423980e-09
-6.000000e-02,2.154435e-03,2.412943e-09
-6.000000e-02,2.477076e-03,2.401958e-09
-6.000000e-02,2.848036e-03,2.391022e-09
-6.000000e-02,3.274549e-03,2.380136e-09
-6.000000e-02,3.764936e-03,2.369299e-09
-6.000000e-02,4.328761e-03,2.358512e-09
-6.000000e-02,4.977024e-03,2.347774e-09
-6.000000e-02,5.722368e-03,2.337085e-09
-6.000000e-02,6.579332e-03,2.326444e-09
-6.000000e-02,7.564633e-03,2.315852e-09
-6.000000e-02,8.697490e-03,2.305308e-09
-6.000000e-02,1.000000e-02,2.294812e-09
-6.000000e-02,1.149757e-02,2.284364e-09
-6.000000e-02,1.321941e-02,2.273964e-09
-6.000000e-02,1.519911e-02,2.263610e-09
-6.000000e-02,1.747528e-02,2.253304e-09
-6.000000e-02,2.009233e-02,2.243045e-09
-6.000000e-02,2.310130e-02,2.232833e-09
-6.000000e-02,2.656088e-02,2.222667e-09
-6.000000e-02,3.053856e-02,2.212547e-09
-6.000000e-02,3.511192e-02,2.202474e-09
-6.000000e-02,4.037017e-02,2.192446e-09
-6.000000e-02,4.641589e-02,2.182464e-09
-6.000000e-02,5.336699e-02,2.172528e-09
-6.000000e-02,6.135907e-02,2.162636e-09
-6.000000e-02,7.054802e-02,2.152790e-09
-6.000000e-02,8.111308e-02,2.142989e-09
-6.000000e-02,9.326033e-02,2.133232e-09
-6.000000e-02,1.072267e-01,2.123519e-09
-6.000000e-02,1.232847e-01,2.113851e-09
-6.000000e-02,1.417474e-01,2.104227e-09
-6.000000e-02,1.629751e-01,2.094647e-09
-6.000000e-02,1.873817e-01,2.085110e-09
-6.000000e-02,2.154435e-01,2.075617e-09
-6.000000e-02,2.477076e-01,2.066167e-09
-6.000000e-02,2.848036e-01,2.056760e-09
-6.000000e-02,3.274549e-01,2.047395e-09
-6.000000e-02,3.764936e-01,2.038074e-09
-6.000000e-02,4.328761e-01,2.028794e-09
-6.000000e-02,4.977024e-01,2.019558e-09
-6.000000e-02,5.722368e-01,2.010363e-09
-6.000000e-02,6.579332e-01,2.001210e-09
-6.000000e-02,7.564633e-01,1.992098e-09
-6.000000e-02,8.697490e-01,1.983029e-09
