T_Gyr,dchi2_smooth
0.0032968091144445575,7.289563034295989
0.0033735595976140897,7.100907794696998
0.003452096849887408,6.917034406032004
0.003532462467664923,6.737823700852338
0.0036146990157209396,6.563159439529434
0.0036988500497475963,6.392928239375565
0.0037849601394236917,6.227019503483491
0.003873074892020501,6.065325354241218
0.003963240976557201,5.9077405689767835
0.004055506148518576,5.754162513212492
0.004149919275148222,5.604491078470174
0.004246530361330518,5.458628621303023
0.004345390576075202,5.316479902331567
0.004446552279618446,5.177952029198736
0.004550069051154918,5.042954398907949
0.0046559957172153865,4.911398641278569
0.004764388380705027,4.7831985658662965
0.004875304450617684,4.6582701080020055
0.004988802672441952,4.536531278170341
0.005104943159275046,4.417902110123715
0.005223787423661093,4.30230461160299
0.005345398410170532,4.189662718177797
0.005469840528738073,4.079902243879797
0.005597179688776663,3.9729508363662984
0.005727483334085742,3.8687379329091947
0.005860820478572066,3.7671947154348455
0.005997261742802222,3.668254068698115
0.006136879391405991,3.571850538412012
0.006279747371350572,3.477920291111092
0.006425941351105739,3.3864010745682562
0.006575538760720871,3.297232178424865
0.006728618832834887,3.2103543968494916
0.006885262644640996,3.12570999188441
0.007045553160828307,3.0432426578456595
0.0072095752775231964,2.9628974858045676
0.007377415867253631,2.884620929507001
0.007549163824960211,2.8083607722029105
0.007724910115078465,2.7340660937253665
0.007904747819717112,2.661687239412885
0.00808877218795805,2.591175788133928
0.008277080686303926,2.5224845225233086
0.008469773050300285,2.4555674001885466
0.00866695133735933,2.390379523791857
0.008868719980813611,2.3268771132988513
0.009075185845227908,2.2650174789525903
0.009286458282998976,2.204758994087588
0.009502649192272762,2.1460610692084634
0.00972387307621013,2.088884126234257
0.009950247103632117,2.033189574187654
0.010181891171077226,1.9789397847004273
0.010418927966303216,1.9260980680111774
0.010661483033267428,1.8746286501020288
0.010909684838619748,1.8244966503508657
0.011163664839743489,1.775668059599688
0.011423557554380499,1.728109718336898
0.011689500631876928,1.6817892958930338
0.011961634926087756,1.6366752700587288
0.012240104569978394,1.5927369075160835
0.012525057051963303,1.5499442439996982
0.012816643294021511,1.5082680649573545
0.013115017731630865,1.467679887862917
0.013420338395562979,1.4281519439244996
0.013732766995582674,1.3896571601735197
0.014052469006095697,1.3521691425812412
0.014379613753790477,1.315662159043698
0.014714374507320065,1.280111123229475
0.015056928569072146,1.2454915785333394
0.015407457369075213,1.211779682421951
0.01576614656109106,1.1789521915601069
0.016133186120944155,1.1469864467196011
0.01650877044714045,1.1158603584050295
0.016893098463828304,1.0855523926191095
0.01728637372615658,1.0560415573306996
0.017688804528085234,1.0273073889978288
0.018100604012706197,0.9993299392290069
0.018521990285132114,0.9720897622972043
0.01895318652801344,0.9455679026146708
0.019394421119744536,0.9197458827405961
0.019845927755422033,0.8946056911082003
0.020307945570618744,0.8701297704667152
0.020780719268039285,0.8463010070162141
0.021264499247124043,0.8231027193878838
0.021759541736670756,0.8005186474801688
0.022266108930543142,0.7785329421438313
0.022784469126539114,0.7571301550742113
0.02331489686849159,0.7362952289475984
0.02385767309167794,0.7160134874239449
0.024413085271614093,0.6962706256277714
0.02498142757631293,0.6770527012281228
